Block,Time,CHAMERA1,DADRI_CRF,UNCHAHAR4,SINGRAULI_HYDRO,TANDA2,CHAMERA2,CHAMERA3,KOLDAM,SEWA2,RAMPUR,RAPPB,BSIUL,DADRI_GF,RIHAND3,TEHRI,KISHANGANGA,UNCHAHAR1,NAPP,UNCHAHAR2,DADRT2,ANTA_CRF,RAPPC,KOTESHWR,DADRI_LF,ANTA_LF,DHAULIGNGA,SINGRAULI,DULHASTI,DADRI_RF,JHAJJAR,UNCHAHAR3,ANTA_GF,TANAKPUR,RIHAND1,NJPC,PARBATI3,AURY_CRF,AURY_LF,ANTA_RF,SALAL,URI2,URI,AURY_RF,AURY_GF,KUDGI,KHSTPP-II,SASAN,FSTPP I & II,KHSTPP-I,BRBCL,RIHAND2,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
23,05:30-05:45,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,14.287322,212.520000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.32,77.443544,330.915375,1.864380,8.394540,14.490000,114.108750,25.560360,0,0,0,0,0

24,05:45-06:00,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,12.611334,212.520000,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.32,59.871134,330.915375,1.864380,8.394540,14.490000,114.108750,25.560360,0,0,0,0,0

25,06:00-06:15,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,21.400992,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,49.32,79.838947,330.915375,13.765500,22.093386,14.490000,114.108750,25.560360,0,0,0,0,0

26,06:15-06:30,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,21.400992,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,50.123808,0.000000,0.000000,47.31,94.319609,330.915375,13.765500,22.093386,14.490000,114.108750,25.560360,0,0,0,0,0

27,06:30-06:45,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,21.687612,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,50.123808,0.000000,0.000000,47.31,94.996440,330.915375,13.765500,22.093386,14.490000,114.108750,25.560360,0,0,0,0,0

28,06:45-07:00,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,28.074673,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,20.827754,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,10.147057,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,44.93,80.243564,330.915375,9.584072,22.093386,14.490000,114.108750,25.560360,0,0,0,0,0

29,07:00-07:15,41.209560,0.000000,0.000000,0.942459,0.000000,0.000000,0.000000,0.000000,15.266710,0.000000,0.000000,0.000000,0.000000,119.460993,62.805456,0.000000,11.401703,37.759781,10.935346,218.499540,0.000000,49.034160,34.289136,0.000000,0.000000,35.347582,121.317525,31.728077,0.000000,328.440000,13.199951,0.000000,9.528334,88.872000,147.740523,0.000000,0.000000,0.000000,0.000000,80.819424,30.812872,45.324720,0.000000,0.000000,38.64,37.751280,330.915375,5.360817,10.336200,14.490000,114.108750,25.560360,0,0,0,0,0

