Time,Block,NR/2023/17261/F,WR/01102023/01102023/L_NR_2022_09,NR/2023/17165/A,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/2023/17573/C,NR/2023/17558/D,NR/2023/17564/D,NR/2023/17575/C,NR/30092023/31122025/SH-07,NR/2023/17344/F,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/2023/14754/A,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/2023/17565/D,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/2023/17405/F,WR/01102023/31032046/L_NR_2020_05,NR/01102023/06022042/L_NR_2012_07,NR/2023/14436/A,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/2023/17406/F,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,Total
53,13:00-13:15,0.000000,10.9,33.830000,6.54,69.6,0.000000,6.770000,8.22,24.17,26.990000,0.970000,27.86,28.030000,4.190000,7.25,45.93,96.660000,48.330000,0.000000,40.61,221.96,64,27.85,32,206.780000,4.670000,6.270000,14.660000,0.000000,14.310000,26.990000,4.380000,4.830000,21.75,63.020000,33.830000,10.9,88.47,156.97,271.860000,14.310000,4.350000,7.25,42.75,1831.01

54,13:15-13:30,0.000000,10.9,33.830000,6.54,69.6,0.000000,6.770000,8.51,24.17,26.990000,0.970000,27.86,28.030000,4.190000,7.25,45.93,67.660000,48.330000,0.000000,40.61,221.96,65,27.85,32,206.780000,4.670000,6.270000,14.660000,0.000000,14.310000,26.990000,4.380000,4.830000,21.75,63.020000,33.830000,10.9,87.73,156.97,271.860000,14.310000,4.350000,7.25,42,1801.81

55,13:30-13:45,0.000000,10.9,33.830000,6.54,69.6,0.000000,6.770000,9.47,24.17,26.990000,0.970000,27.86,28.030000,4.190000,7.25,45.93,77.330000,48.330000,0.000000,40.61,221.96,66,27.85,33,177.110000,4.670000,6.270000,14.660000,0.000000,14.310000,26.990000,4.380000,4.830000,21.75,48.810000,33.830000,10.9,86.61,156.97,271.860000,14.310000,4.350000,7.25,41,1768.44

56,13:45-14:00,0.000000,10.9,33.830000,6.54,69.6,0.000000,6.770000,9.18,24.17,26.990000,0.970000,27.86,28.030000,4.190000,7.25,45.93,85.060000,48.330000,0.000000,40.61,221.96,68,27.85,34,206.780000,4.670000,6.270000,14.660000,0.000000,14.310000,26.990000,4.380000,4.830000,21.75,63.020000,33.830000,10.9,84.72,156.97,271.860000,14.310000,4.350000,7.25,40,1819.87

57,14:00-14:15,0.000000,10.9,33.830000,6.54,64.76,0.000000,6.770000,8.7,24.17,26.990000,0.970000,27.86,28.030000,4.190000,7.25,45.93,93.760000,48.330000,0.000000,40.61,221.96,67,27.85,34,206.780000,4.670000,6.270000,13.860000,0.000000,13.510000,26.990000,4.530000,4.830000,21.75,63.020000,33.830000,10.9,82.24,147.62,271.860000,13.510000,4.350000,7.25,39,1807.17

58,14:15-14:30,0.000000,12.45,33.830000,6.54,62.83,0.000000,6.770000,8.22,24.17,26.990000,0.970000,27.86,28.030000,4.190000,7.25,45.2,102.460000,48.330000,0.000000,40.61,218.48,67,27.85,34,206.780000,4.670000,6.270000,13.470000,0.000000,13.140000,26.990000,4.530000,4.830000,21.75,63.020000,33.830000,12.45,79.71,142.95,271.860000,13.140000,4.350000,7.25,38,1803.02

59,14:30-14:45,0.000000,12.45,33.830000,6.54,60.9,0.000000,6.770000,7.54,24.17,26.990000,0.970000,27.86,28.030000,4.190000,7.25,44.66,111.160000,101.240000,0.000000,40.61,215.82,65,27.85,32,206.780000,4.820000,6.270000,13.060000,0.000000,12.740000,26.990000,4.530000,4.830000,21.75,63.020000,33.830000,12.45,76.91,137.34,271.860000,12.740000,4.350000,7.25,37.61,1844.96

60,14:45-15:00,0.000000,12.45,33.830000,6.54,58.96,0.000000,6.770000,6.96,24.17,26.990000,0.970000,27.86,28.030000,4.190000,7.25,43.79,118.310000,101.240000,0.000000,40.61,211.64,63,27.85,32,238.030000,4.820000,6.270000,12.550000,0.000000,12.240000,26.990000,4.530000,4.830000,21.75,71.530000,33.830000,12.45,73.46,131.74,271.860000,12.240000,4.350000,7.25,35.71,1869.84

61,15:00-15:15,0.000000,15.58,33.830000,6.54,56.06,0.000000,6.770000,6.28,24.17,26.990000,0.970000,27.86,28.030000,4.270000,7.25,41.32,118.310000,101.240000,0.000000,40.61,199.73,58,27.85,29,238.030000,4.820000,6.370000,12.370000,0.000000,12.060000,26.990000,4.530000,4.830000,21.75,71.530000,33.830000,15.58,68.85,125.19,271.860000,12.060000,4.350000,7.25,33.79,1836.7

62,15:15-15:30,0.000000,15.58,33.830000,6.54,52.2,0.000000,6.770000,5.32,24.17,26.990000,0.970000,27.86,28.030000,4.270000,7.25,38.88,118.310000,101.240000,0.000000,40.61,187.91,53,27.85,26,238.030000,4.820000,6.370000,11.730000,0.000000,11.440000,26.990000,4.530000,4.830000,21.75,71.530000,33.830000,15.58,63.82,117.72,271.860000,11.440000,4.350000,7.25,31.61,1793.06

63,15:30-15:45,0.000000,15.58,33.830000,6.54,47.36,0.000000,6.770000,4.06,24.17,24.280000,0.970000,27.86,28.030000,4.270000,7.25,36.15,118.310000,101.240000,0.000000,40.61,174.74,48,27.85,24,238.030000,5.060000,6.370000,11.080000,0.000000,10.810000,24.280000,4.530000,4.830000,21.75,71.530000,33.830000,15.58,58.99,108.38,271.860000,10.810000,4.350000,7.25,26.72,1737.91

64,15:45-16:00,0.000000,16.7,33.830000,6.54,43.5,0.000000,6.770000,3.67,24.17,24.280000,0.970000,27.86,28.030000,4.270000,7.25,33.31,118.310000,101.240000,0.000000,40.61,161.01,43,27.85,22,238.030000,5.060000,6.370000,9.790000,0.000000,9.550000,24.280000,4.530000,4.830000,21.75,71.530000,33.830000,16.7,53.92,98.1,271.860000,9.550000,4.350000,7.25,24.14,1690.59

65,16:00-16:15,0.000000,14.55,33.830000,6.54,35.76,0.000000,6.770000,3.62,24.17,24.280000,0.870000,27.86,29.000000,4.470000,7.25,30.24,118.310000,101.240000,0.000000,31.02,146.18,37,27.85,18,238.030000,5.060000,6.460000,8.560000,0.000000,8.350000,24.280000,4.840000,4.830000,21.75,71.530000,33.830000,14.55,47.33,82.22,271.860000,8.350000,4.350000,7.25,21.29,1613.53

66,16:15-16:30,0.000000,14.92,33.830000,6.54,29.96,0.000000,6.770000,3.49,24.17,24.280000,0.870000,27.86,29.000000,4.470000,7.25,27.03,118.310000,101.240000,0.000000,30.77,130.66,32,27.85,16,238.030000,5.060000,6.460000,7.270000,0.000000,7.090000,24.280000,4.840000,4.830000,21.75,71.530000,33.830000,14.92,42.63,69.14,271.860000,7.090000,4.350000,7.25,19.12,1558.6

67,16:30-16:45,0.000000,14.01,33.830000,6.54,23.2,10.630000,6.770000,3.09,24.17,24.280000,0.870000,30.83,29.000000,4.470000,7.25,23.69,118.310000,101.240000,0.000000,28.97,114.5,27,19.5,14,238.030000,5.440000,6.460000,5.920000,0.000000,5.770000,24.280000,4.840000,4.830000,21.75,71.530000,33.830000,14.01,37.09,52.32,271.860000,5.770000,4.350000,7.25,15.68,1497.16

68,16:45-17:00,0.000000,14.01,33.830000,6.54,18.37,32.860000,6.770000,2.41,24.17,24.280000,0.870000,30.83,29.000000,4.470000,7.25,20.25,118.310000,101.240000,0.000000,27.64,97.85,20,10.25,10,238.030000,5.440000,6.460000,4.960000,0.000000,4.840000,24.280000,4.840000,4.830000,21.75,71.530000,33.830000,14.01,31.16,42.05,271.860000,4.840000,4.350000,7.25,14,1451.51

69,17:00-17:15,0.000000,14.01,33.830000,6.54,14.5,112.130000,6.770000,1.39,0,26.990000,0.770000,24.62,30.930000,4.470000,7.25,16.8,118.310000,101.240000,0.000000,27.28,81.18,23,3.81,11,238.030000,5.440000,6.550000,3.590000,0.000000,3.500000,24.280000,5.070000,4.830000,21.75,71.530000,33.830000,14.01,25.64,32.7,271.860000,3.500000,4.350000,7.25,12,1456.53

70,17:15-17:30,0.000000,14.01,33.830000,6.54,11.6,146.920000,6.770000,1.06,0,26.990000,0.770000,13.87,30.930000,4.470000,7.25,13.22,118.310000,101.240000,0.000000,27.43,63.89,21,0.54,11,238.030000,5.440000,6.550000,2.640000,0.000000,2.570000,24.280000,5.070000,4.830000,21.75,71.530000,33.830000,14.01,20.2,26.16,271.860000,2.570000,4.350000,7.25,9.82,1434.38

71,17:30-17:45,0.000000,14.01,33.830000,6.54,8.7,172.050000,6.770000,0.79,0,26.990000,0.770000,6.23,30.930000,4.470000,7.25,7.5,118.310000,101.240000,0.000000,26.69,36.25,19,0,9,238.030000,5.670000,6.550000,1.830000,0.000000,1.800000,26.990000,5.070000,4.830000,21.75,71.530000,33.830000,14.01,13.74,19.62,271.860000,1.800000,4.350000,7.25,6.46,1394.29

72,17:45-18:00,0.000000,14.01,33.830000,6.54,8.7,177.850000,6.770000,0.44,0,26.990000,0.770000,1,30.930000,4.470000,7.25,6.52,118.310000,101.240000,0.000000,26.4,31.52,8,0,4,238.030000,5.670000,6.550000,1.160000,0.000000,1.130000,26.990000,5.070000,4.830000,21.75,71.530000,33.830000,14.01,9.02,19.62,271.860000,1.130000,4.350000,7.25,3.79,1363.11

73,18:00-18:15,0.000000,14.01,33.830000,6.54,3.87,338.310000,6.770000,0.18,0,26.990000,0.720000,0,30.930000,4.650000,7.25,4.11,118.310000,101.240000,0.000000,32.66,19.84,3,0,1,238.030000,5.670000,6.550000,0.620000,0.000000,0.600000,26.990000,5.070000,4.830000,21.75,71.530000,33.830000,14.01,5.21,10.27,271.860000,0.600000,4.350000,7.25,1.92,1485.15

74,18:15-18:30,0.000000,14.64,33.830000,6.54,0.97,342.180000,6.770000,0,0,32.000000,0.720000,0,30.930000,4.650000,7.25,2.24,118.310000,101.240000,0.000000,32.23,10.84,0,0,0,238.030000,5.670000,6.550000,0.250000,0.000000,0.250000,26.420000,5.070000,4.830000,21.75,71.530000,33.830000,14.64,2.39,3.74,271.860000,0.250000,4.350000,7.25,0.6,1464.6

75,18:30-18:45,0.000000,14.01,33.830000,6.54,0,360.540000,6.770000,0,0,26.990000,0.720000,0,31.900000,4.650000,7.25,0.96,118.310000,101.240000,0.000000,31.79,4.64,0,0,0,238.030000,5.670000,6.550000,0.060000,0.000000,0.060000,26.990000,5.070000,4.830000,21.75,71.530000,33.830000,14.01,0.56,0,271.860000,0.060000,4.350000,7.25,0,1462.6

76,18:45-19:00,0.000000,14.01,33.830000,6.54,0,371.170000,6.770000,0,0,26.990000,0.720000,0,31.900000,4.650000,7.25,0.19,118.310000,101.240000,0.000000,30.1,0.91,0,0,0,238.030000,5.670000,6.550000,0.000000,0.000000,0.000000,26.990000,5.070000,4.830000,21.75,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,7.25,0,1466.3

77,19:00-19:15,0.000000,14.01,33.830000,6.54,0,373.110000,6.770000,0,0,26.420000,0.720000,0,31.900000,4.650000,7.25,0,118.310000,101.240000,0.000000,28.34,0,0,0,0,238.030000,5.670000,6.550000,0.000000,0.000000,0.000000,32.000000,4.840000,4.830000,21.75,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,7.25,0,1469.59

78,19:15-19:30,0.000000,14.01,33.830000,6.54,0,402.110000,6.770000,0,0,26.420000,0.720000,0,31.900000,4.650000,7.25,0,118.310000,101.240000,0.000000,27.37,0,0,0,0,238.030000,5.670000,6.550000,0.000000,0.000000,0.000000,32.000000,4.840000,4.830000,21.75,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,7.25,0,1497.62

79,19:30-19:45,0.000000,14.01,33.830000,6.54,0,409.840000,6.770000,0,0,26.420000,0.720000,0,31.900000,4.650000,7.25,0,118.310000,101.240000,0.000000,15.53,0,0,0,0,238.030000,5.600000,6.550000,0.000000,0.000000,0.000000,32.000000,4.840000,4.830000,21.75,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,7.25,0,1493.44

80,19:45-20:00,0.000000,14.01,33.830000,6.54,0,416.600000,6.770000,0,0,26.420000,0.720000,0,31.900000,4.650000,7.25,0,118.310000,101.240000,0.000000,14.76,0,0,0,0,238.030000,5.600000,6.550000,0.000000,0.000000,0.000000,32.000000,4.840000,4.830000,21.75,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,7.25,0,1499.43

81,20:00-20:15,0.000000,14.01,33.830000,6.54,0,387.610000,6.770000,0,0,26.420000,0.720000,0,31.900000,4.550000,7.25,0,118.310000,101.240000,0.000000,13.66,0,0,0,0,238.030000,5.600000,6.460000,0.000000,0.000000,0.000000,32.000000,4.690000,4.830000,21.75,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,7.25,0,1469

82,20:15-20:30,0.000000,14.01,33.830000,6.54,0,360.540000,6.770000,0,0,26.420000,0.720000,0,31.900000,4.550000,7.25,0,118.310000,101.240000,0.000000,13.05,0,0,0,0,238.030000,5.600000,6.460000,0.000000,0.000000,0.000000,32.000000,4.690000,4.830000,21.75,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,7.25,0,1441.32

83,20:30-20:45,0.000000,18.95,33.830000,8.93,0,406.940000,6.770000,0,0,26.420000,0.720000,0,31.900000,4.550000,8.9,0,118.310000,101.240000,0.000000,11.72,0,0,0,0,238.030000,5.440000,6.460000,0.000000,0.000000,0.000000,32.000000,4.690000,4.830000,26.76,71.530000,33.830000,18.95,0,0,271.860000,0.000000,4.350000,8.92,0,1506.83

84,20:45-21:00,0.000000,18.65,33.830000,8.89,0,451.400000,6.770000,0,0,26.420000,0.720000,0,31.900000,4.550000,8.74,0,118.310000,101.240000,0.000000,10.31,0,0,0,0,238.030000,5.440000,6.460000,0.000000,0.000000,0.000000,32.000000,4.690000,4.830000,26.19,71.530000,33.830000,18.65,0,0,271.860000,0.000000,4.350000,8.73,0,1548.32

85,21:00-21:15,0.000000,18.38,33.830000,8.89,0,460.100000,6.770000,0,0,26.420000,0.720000,0,31.900000,4.550000,8.63,0,118.310000,101.240000,0.000000,9.96,0,0,0,0,238.030000,5.440000,6.460000,0.000000,0.000000,0.000000,32.000000,4.690000,4.830000,25.91,71.530000,33.830000,18.38,0,0,271.860000,0.000000,4.350000,8.64,0,1555.65

86,21:15-21:30,0.000000,17.49,33.830000,8.81,0,466.870000,6.770000,0,0,25.360000,0.720000,0,31.900000,4.550000,8.42,0,118.310000,101.240000,0.000000,9.35,0,0,0,0,238.030000,5.440000,6.460000,0.000000,0.000000,0.000000,32.000000,4.690000,4.830000,25.28,71.530000,33.830000,17.49,0,0,271.860000,0.000000,4.350000,8.43,0,1557.84

87,21:30-21:45,0.000000,16.96,33.830000,8.79,0,508.430000,6.770000,0,0,25.360000,0.720000,0,31.900000,4.550000,8.1,0,118.310000,101.240000,0.000000,8.41,0,0,0,0,238.030000,5.440000,6.460000,0.000000,0.000000,0.000000,32.000000,4.690000,4.830000,24.28,71.530000,33.830000,16.96,0,0,271.860000,0.000000,4.350000,8.09,0,1595.72

88,21:45-22:00,0.000000,15.85,33.830000,8.7,0,528.730000,6.770000,0,0,25.360000,0.720000,0,31.900000,4.550000,7.84,0,118.310000,101.240000,0.000000,7.16,0,0,0,0,238.030000,5.440000,6.460000,0.000000,0.000000,0.000000,32.000000,4.690000,4.830000,23.5,71.530000,33.830000,15.85,0,0,271.860000,0.000000,4.350000,7.83,0,1611.16

89,22:00-22:15,54.130000,15.4,33.830000,8.66,0,521.000000,6.770000,0,0,25.360000,0.680000,0,31.900000,4.470000,7.4,0,118.310000,101.240000,23.200000,7.16,0,0,0,0,238.030000,5.440000,6.370000,0.000000,0.000000,0.000000,32.000000,4.530000,4.830000,22.23,71.530000,33.830000,15.4,0,0,271.860000,0.000000,4.350000,7.41,0,1677.32

90,22:15-22:30,54.130000,14.5,33.830000,8.6,0,553.860000,6.770000,0,0,25.360000,0.680000,0,31.900000,4.470000,7.25,0,118.310000,101.240000,23.200000,7.16,0,0,0,0,238.030000,5.440000,6.370000,0.000000,0.000000,0.000000,32.000000,4.530000,4.830000,21.75,71.530000,33.830000,14.5,0,0,271.860000,0.000000,4.350000,7.25,0,1707.53

91,22:30-22:45,54.130000,14.26,33.830000,8.5,0,565.460000,6.770000,0,0,26.990000,0.680000,0,31.900000,4.470000,7.25,0,118.310000,101.240000,23.200000,7.16,0,0,0,0,238.030000,5.290000,6.370000,0.000000,0.000000,0.000000,26.990000,4.530000,4.830000,21.75,71.530000,33.830000,14.26,0,0,271.860000,0.000000,4.350000,7.25,0,1715.02

92,22:45-23:00,54.130000,14.15,33.830000,8.37,0,582.860000,6.770000,0,0,26.990000,0.680000,0,31.900000,4.470000,7.25,0,118.310000,101.240000,23.200000,7.16,0,0,0,0,238.030000,5.290000,6.370000,0.000000,0.000000,0.000000,26.990000,4.530000,4.830000,21.75,71.530000,33.830000,14.15,0,0,271.860000,0.000000,4.350000,7.25,0,1732.07

93,23:00-23:15,54.130000,21.69,33.830000,8.22,0,615.720000,6.770000,0,0,26.990000,0.630000,0,31.900000,4.270000,7.25,0,118.310000,101.240000,23.200000,7.16,0,0,0,0,238.030000,4.350000,6.370000,0.000000,0.000000,0.000000,26.990000,4.530000,4.830000,21.75,71.530000,33.830000,21.69,0,0,271.860000,0.000000,4.350000,7.25,0,1778.67

94,23:15-23:30,54.130000,21.21,33.830000,8.09,0,632.160000,6.770000,0,0,26.990000,0.630000,0,31.900000,4.270000,7.25,0,118.310000,101.240000,23.200000,7.16,0,0,0,0,238.030000,4.350000,6.370000,0.000000,0.000000,0.000000,26.990000,4.530000,4.830000,21.75,71.530000,33.830000,21.21,0,0,271.860000,0.000000,4.350000,7.25,0,1794.02

95,23:30-23:45,54.130000,19.76,33.830000,6.54,0,617.660000,6.770000,0,0,26.990000,0.630000,0,31.900000,4.270000,7.25,0,118.310000,101.240000,23.200000,7.16,0,0,0,0,238.030000,4.350000,6.370000,0.000000,0.000000,0.000000,26.990000,4.530000,4.830000,21.75,71.530000,33.830000,19.76,0,0,271.860000,0.000000,4.350000,7.25,0,1775.07

96,23:45-24:00,54.130000,18.41,33.830000,6.54,0,604.120000,6.770000,0,0,26.990000,0.630000,0,31.900000,4.270000,7.25,0,118.310000,101.240000,23.200000,7.16,0,0,0,0,238.030000,4.350000,6.370000,0.000000,0.000000,0.000000,26.990000,4.530000,4.830000,21.75,71.530000,33.830000,18.41,0,0,271.860000,0.000000,4.350000,7.25,0,1758.83

