Column1,Block,NR/2025/31347/A/92590,NR/2025/31136/A/93092,NR/2025/31419/A/93103,NR/2025/31136/A/93093,NR/2025/30067/A/93138,NR/2025/31420/A/93102,NR/2025/31137/A/93094,NR/2025/31137/A/93095,NR/2025/29628/A/93060,NR/2025/31138/A/93096,NR/2025/31138/A/93098,NR/2025/29167/A/92648,NR/2025/28728/A/93073,NR/2025/29440/A/92580,NR/2025/30105/A/93052,NR/2025/32586/C,NR/2025/32564/C,NR/2025/27975/A/93212,NR/2025/32606/C,NR/2025/32542/C,NR/2025/32533/C,NR/2025/27965/A/93208,NR/2025/27973/A/93211,NR/2025/32607/C,NR/2025/31780/A/92745,NR/2025/27966/A/93210,NR/2025/27978/A/93184,NR/2025/29915/A/92647,NR/2025/32597/C,NR/2025/29910/A/93058,NR/2025/32604/C,NR/2025/29992/A/92736,NR/2025/32575/C,NR/2025/32590/C,NR/2025/32600/C,NR/2025/29439/A/92776,NR/2025/32488/C,NR/2025/32501/C,NR/2025/30083/A/93055,NR/2025/32602/C,NR/2025/30191/A/92592,NR/2025/31870/A/92729,NR/2025/29352/A/93108,NR/2025/32506/C,NR/2025/30082/A/93130,NR/2025/29353/A/93107,NR/2025/30101/A/93185,NR/2025/30217/A/93051,NR/2025/30121/A/92594,NR/2025/32574/C,GNA/NR/2025/07/01/2786,NR/2025/30086/A/93053,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/8154,NR/2025/30084/A/93054,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/3109,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNARE/NR/2024/12/20/3668,NR/2025/32609/C,NR/2025/29985/A/92748,Total
43,10:30-10:45,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,13.19,90.33,11.56,172,1637.8

44,10:45-11:00,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,13.19,92.91,12.84,179,1648.66

45,11:00-11:15,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,13.19,94.28,14.11,186,1658.3

46,11:15-11:30,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,13.19,95.27,15.56,186,1660.74

47,11:30-11:45,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,13.19,90,16.93,186,1656.8400000000001

48,11:45-12:00,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,13.19,90,18.22,186,1658.13

49,12:00-12:15,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,90,19.4,168,1641.3300000000002

50,12:15-12:30,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,91.67,19.7,168,1643.3000000000002

51,12:30-12:45,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,93.33,19.96,154,1631.22

52,12:45-13:00,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,93.33,20.24,154,1631.5

53,13:00-13:15,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,91.87,8.83,126,1590.63

54,13:15-13:30,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,91.29,8.83,126,1590.05

55,13:30-13:45,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,88.33,8.83,133,1594.09

56,13:45-14:00,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,86.67,8.83,133,1592.43

57,14:00-14:15,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,33.73,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,79.05,8.83,140,1625.5399999999997

58,14:15-14:30,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,33.73,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,77.5,8.83,144,1627.9899999999998

59,14:30-14:45,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,33.73,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,70.85,8.83,112,1589.3399999999997

60,14:45-15:00,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,33.73,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,68.92,8.83,109,1584.4099999999999

61,15:00-15:15,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,33.73,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,70.42,10.78,105,1583.86

62,15:15-15:30,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,33.73,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,13.19,65.73,10.78,105,1579.1699999999998

63,15:30-15:45,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,33.73,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,0,54.85,10.78,126,1576.0999999999997

64,15:45-16:00,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,33.73,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.95,26.95,0,51.71,10.78,119,1565.9599999999998

65,16:00-16:15,9.64,0.48,0,0.96,0,0,0.29,0.77,76.74,0.19,0.67,0,81.92,0.96,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,16.62,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,15.28,0,19.28,26.95,26.95,0,36.67,10.78,109,1697.89

66,16:15-16:30,9.64,0.48,0,0.96,0,0,0.29,0.77,76.74,0.19,0.67,0,81.92,0.96,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,16.62,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,15.28,0,19.28,26.95,26.95,0,33.67,10.78,98,1683.89

67,16:30-16:45,9.64,0.48,0,0.96,0,0,0.29,0.77,76.74,0.19,0.67,0,81.92,0.96,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,16.62,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,15.28,0,19.28,26.95,26.95,0,25,10.78,81,1658.22

68,16:45-17:00,9.64,0.48,0,0.96,0,0,0.29,0.77,76.74,0.19,0.67,0,81.92,0.96,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,16.62,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,15.28,0,19.28,26.95,26.95,0,23.33,8.83,70,1643.6

69,17:00-17:15,0,0.48,0,0.8,0,0,0.29,0.77,76.74,0.19,0.56,0,81.92,0.87,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,16.62,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,15.28,0,19.28,26.95,26.95,0,20,8.17,63,1622.6100000000001

70,17:15-17:30,0,0.48,0,0.71,0,0,0.29,0.77,76.74,0.19,0.5,0,81.92,0.87,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,16.62,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,15.28,0,19.28,26.95,26.95,0,18.33,7.89,53,1610.51

71,17:30-17:45,0,0.48,0,0.54,0,0,0.29,0.77,76.74,0.19,0.38,0,81.92,0.87,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,16.62,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,15.28,0,19.28,26.95,26.95,0,15,7.71,46,1599.71

72,17:45-18:00,0,0.48,0,0.38,0,0,0.29,0.77,76.74,0.19,0.22,0,81.92,0.87,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,16.62,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,15.28,0,19.28,26.95,26.95,0,13.33,7.71,35,1586.72

73,18:00-18:15,0,0.48,0,0.21,0,0,0.28,0.77,76.74,0.19,0.13,0,81.92,0.87,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,16.62,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,26.41,29.5,0,12.66,7.71,25,1543.23

74,18:15-18:30,0,0.48,0,0.15,0,0,0.18,0.13,76.74,0.19,0.1,0,81.92,0.87,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,16.62,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,26.41,29.5,0,9.49,4.08,14,1524.6

75,18:30-18:45,0,0.48,0,0.05,0,0,0.1,0.04,76.74,0.07,0.03,0,81.92,0.87,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,19.94,29.5,0,5.06,4.08,7,1508.8999999999999

76,18:45-19:00,0,0.1,0,0,0,0,0.06,0,76.74,0.04,0,0,81.92,0.87,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,19.94,29.5,0,2.63,2.61,5,1502.43

77,19:00-19:15,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,14.84,29.5,0,1.5,0,1,1489.4399999999998

78,19:15-19:30,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,14.84,29.5,0,0.33,0,0,1487.2699999999998

79,19:30-19:45,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,14.84,29.5,0,0,0,0,1486.9399999999998

80,19:45-20:00,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,14.84,29.5,0,0,0,0,1486.9399999999998

81,20:00-20:15,0,0,0,0,0,0,0,0,76.74,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,29.5,29.5,0,0,0,0,1555.81

82,20:15-20:30,0,0,0,0,0,0,0,0,76.74,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,29.5,29.5,0,0,0,0,1555.81

83,20:30-20:45,0,0,0,0,0,0,0,0,76.74,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,29.5,29.5,0,0,0,0,1555.81

84,20:45-21:00,0,0,0,0,0,0,0,0,76.74,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,29.5,29.5,0,0,0,0,1555.81

85,21:00-21:15,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,14.84,29.5,0,0,0,0,1570.4299999999998

86,21:15-21:30,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,14.84,29.5,0,0,0,0,1570.4299999999998

87,21:30-21:45,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,7.01,29.5,0,0,0,0,1562.6

88,21:45-22:00,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,7.01,29.5,0,0,0,0,1562.6

89,22:00-22:15,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,7.01,29.5,0,0,0,0,1562.6

90,22:15-22:30,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,7.01,29.5,0,0,0,0,1562.6

91,22:30-22:45,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,29.5,29.5,0,0,0,0,1584.1299999999999

92,22:45-23:00,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,29.5,29.5,0,0,0,0,1584.1299999999999

93,23:00-23:15,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,29.5,29.5,0,0,0,0,1584.1299999999999

94,23:15-23:30,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,29.5,29.5,0,0,0,0,1584.1299999999999

95,23:30-23:45,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,29.5,29.5,0,0,0,0,1584.1299999999999

96,23:45-24:00,0,0,0,0,0,0,0,0,106.02,0,0,54.21,81.92,0.92,29.2,0,0,33.73,0,0,0,0,0,0,134.93,0,0,0,192.76,19.28,0,44.33,0,0,0,25.14,0,0,14.6,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,27.76,81.92,20.79,32.65,163.85,135.17,0,0,0,0,29.5,29.5,0,0,0,0,1584.1299999999999

