Time,Block,NR/2023/10611/A,NR/2023/11862/F,NR/2023/10229/A,NR/2023/11961/F,NR/2023/11476/A,NR/2023/10236/A,NR/2023/11957/F,NR/2023/11342/A,NR/2023/11941/F,NR/2023/11955/F,NR/2023/11963/F,NR/2023/10434/A,NR/2023/11956/F,NR/2023/11959/F,NR/2023/10344/A,NR/2023/11642/A,NR/2023/10944/A,NR/2023/11330/A,NR/2023/12319/D,NR/2023/10613/A,NR/2023/11958/F,NR/2023/11962/F,NR/2023/12334/C,NR/2023/11960/F,NR/2023/11643/A,NR/2023/11947/F,NR/2023/12333/C,NR/2023/10487/A,NR/2023/12327/C,NR/2023/11952/F,NR/2023/12317/D,NR/2023/12324/D,NR/2023/12323/D,Total
69,17:00-17:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,80.840000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.650000,41.430000,31.590000,0.000000,0.96,26.1,60.9,822.46

70,17:15-17:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,80.840000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.650000,41.430000,31.590000,0.000000,0,21,49,804.5

71,17:30-17:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,133.730000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.650000,41.430000,31.590000,0.000000,0,15.6,36.4,839.39

72,17:45-18:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.650000,41.430000,31.590000,0.000000,0,12,28,886.36

73,18:00-18:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.750000,41.430000,32.610000,36.350000,0,9,21,913.83

74,18:15-18:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.750000,41.430000,32.610000,36.350000,0,3,7,893.83

75,18:30-18:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.750000,41.430000,32.610000,36.350000,0,1.5,3.5,888.83

76,18:45-19:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.750000,41.430000,32.610000,36.350000,0,0,0,883.83

77,19:00-19:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.840000,41.430000,32.610000,36.350000,0,0,0,883.92

78,19:15-19:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.840000,41.430000,32.610000,36.350000,0,0,0,883.92

79,19:30-19:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.840000,41.430000,32.610000,36.350000,0,0,0,883.92

80,19:45-20:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.840000,41.430000,32.610000,36.350000,0,0,0,883.92

81,20:00-20:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,9.930000,41.430000,32.610000,36.350000,0,0,0,884.01

82,20:15-20:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,9.930000,41.430000,32.610000,36.350000,0,0,0,884.01

83,20:30-20:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,9.930000,41.430000,32.610000,36.350000,0,0,0,884.01

84,20:45-21:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,192.700000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,9.930000,41.430000,32.610000,36.350000,0,0,0,884.01

85,21:00-21:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,133.730000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.030000,41.430000,32.610000,36.350000,0,0,0,825.14

86,21:15-21:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,133.730000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.030000,41.430000,32.610000,36.350000,0,0,0,825.14

87,21:30-21:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,81.900000,0.640000,13.010000,6.740000,10.030000,41.430000,32.610000,36.350000,0,0,0,840.18

88,21:45-22:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,81.900000,0.640000,13.010000,6.740000,10.030000,41.430000,32.610000,36.350000,0,0,0,840.18

89,22:00-22:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,81.900000,0.640000,13.010000,6.740000,10.120000,41.430000,29.550000,36.350000,0,0,0,926.91

90,22:15-22:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,81.900000,0.640000,13.010000,6.740000,10.120000,41.430000,29.550000,36.350000,0,0,0,926.91

91,22:30-22:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,81.900000,0.640000,13.010000,6.740000,10.120000,41.430000,29.550000,36.350000,0,0,0,926.91

92,22:45-23:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,81.900000,0.640000,13.010000,6.740000,10.120000,41.430000,29.550000,36.350000,0,0,0,926.91

93,23:00-23:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,81.900000,0.640000,13.010000,6.740000,10.210000,41.430000,29.550000,36.350000,0,0,0,927

94,23:15-23:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,81.900000,0.640000,13.010000,6.740000,10.210000,41.430000,29.550000,36.350000,0,0,0,927

95,23:30-23:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,81.900000,0.640000,13.010000,6.740000,10.210000,41.430000,29.550000,36.350000,0,0,0,927

96,23:45-24:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,81.900000,0.640000,13.010000,6.740000,10.210000,41.430000,29.550000,36.350000,0,0,0,927

