Column1,Block,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/4168,SR/2024/15456/A/50932,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6775,NR/2025/25028/C,NR/2025/24838/A/51254,NR/2024/24507/A/51260,NER/2024/2820/A/51248,NR/2024/24434/A/50943,NR/2024/24418/A/50944,NR/2025/25029/C,NR/2025/25030/C,NR/2025/25039/C,NR/2024/24566/A/50934,NR/2025/24839/A/51263,NR/2025/24837/A/51252,NR/2024/24508/A/51259,NR/2024/24614/A/51258,NR/2024/24435/A/50942,NR/2025/25038/C,WR/2024/25501/A/51251,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/20/9046,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3514,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3945,Total
77,19:00-19:15,15.39,25.61,7.69,9.62,30.77,20.19,96.16,5.77,115.39,28.85,36.54,48.08,36.54,0,0,20.34,38.46,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,90.39,1.3,25.61,14.42,26.92,30,19.23,50,43.27,1010.2

78,19:15-19:30,15.39,25.61,7.69,9.62,30.77,20.19,96.16,5.77,115.39,28.85,36.54,48.08,36.54,0,0,20.34,38.46,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,90.39,1.3,25.61,14.42,26.92,30,19.23,50,43.27,1010.2

79,19:30-19:45,15.39,25.61,7.69,9.62,30.77,20.19,96.16,5.77,115.39,28.85,36.54,48.08,36.54,0,0,20.34,38.46,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,90.39,1.3,25.61,14.42,26.92,30,19.23,50,43.27,1010.2

80,19:45-20:00,15.39,27,7.69,9.62,30.77,20.19,96.16,5.77,115.39,28.85,36.54,48.08,36.54,0,0,20.34,38.46,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,90.39,1.3,27,14.42,26.92,30,19.23,50,43.27,1012.98

81,20:00-20:15,15.39,27,0,0,0,20.19,0,0,153.86,28.85,34.62,48.08,34.62,0,0,20.34,38.46,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,50,34.62,792.7899999999998

82,20:15-20:30,15.39,27,0,0,0,20.19,0,0,153.86,28.85,34.62,48.08,34.62,0,0,20.34,38.46,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,50,34.62,792.7899999999998

83,20:30-20:45,15.39,27,0,0,0,20.19,0,0,153.86,28.85,34.62,48.08,34.62,0,0,20.34,38.46,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,50,34.62,792.7899999999998

84,20:45-21:00,15.39,27,0,0,0,20.19,0,0,153.86,28.85,34.62,48.08,34.62,0,0,20.34,38.46,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,50,34.62,792.7899999999998

85,21:00-21:15,30.77,27,0,0,0,20.19,0,0,269.25,28.85,28.85,48.08,28.85,0,0,20.34,0,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,50,28.85,867.79

86,21:15-21:30,30.77,27,0,0,0,20.19,0,0,269.25,28.85,28.85,48.08,28.85,0,0,20.34,0,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,50,28.85,867.79

87,21:30-21:45,30.77,27,0,0,0,20.19,0,0,269.25,28.85,28.85,48.08,28.85,0,0,20.34,0,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,50,28.85,867.79

88,21:45-22:00,30.77,27,0,0,0,20.19,0,0,269.25,28.85,28.85,48.08,28.85,0,0,20.34,0,0,0.58,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,50,28.85,867.79

89,22:00-22:15,30.77,27,0,0,0,20.19,0,0,288.48,28.85,25.96,48.08,25.96,0,0,20.34,0,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,0,25.96,828.25

90,22:15-22:30,30.77,27,0,0,0,20.19,0,0,288.48,28.85,25.96,48.08,25.96,0,0,20.34,0,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,0,25.96,828.25

91,22:30-22:45,30.77,27,0,0,0,20.19,0,0,288.48,28.85,25.96,48.08,25.96,0,0,20.34,0,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,0,25.96,828.25

92,22:45-23:00,30.77,27,0,0,0,20.19,0,0,288.48,28.85,25.96,48.08,25.96,0,0,20.34,0,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,0,25.96,828.25

93,23:00-23:15,30.77,27,0,0,0,20.19,0,0,288.48,28.85,23.08,48.08,23.08,0,0,20.34,0,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,0,23.08,819.61

94,23:15-23:30,30.77,27,0,0,0,20.19,0,0,288.48,28.85,23.08,48.08,23.08,0,0,20.34,0,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,0,23.08,819.61

95,23:30-23:45,30.77,27,0,0,0,20.19,0,0,288.48,28.85,23.08,48.08,23.08,0,0,20.34,0,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,0,23.08,819.61

96,23:45-24:00,30.77,27,0,0,0,20.19,0,0,288.48,28.85,23.08,48.08,23.08,0,0,20.34,0,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,0,1.3,27,8.65,26.92,30,19.23,0,23.08,819.61

