Column1,Block,NR/2025/26335/A/75723,NR/2025/26755/A/75481,GNARE/NR/2024/12/20/3668,NR/2025/26232/A/76007,NR/2025/26004/A/75548,NR/2025/26233/A/76006,NR/2025/25967/A/75962,NR/2025/26827/A/75993,NR/2025/26289/A/76004,NR/2025/26153/A/75483,NR/2025/26828/A/75992,NR/2025/26879/A/75714,NR/2025/27545/C,NR/2025/27554/C,GNA/NR/2025/05/01/8954,NR/2025/27548/C,GNA/NR/2025/05/01/9395,NR/2025/27549/C,NR/2025/27550/C,NR/30092023/26122029/SH-06,NR/2025/27544/C,NR/2025/27473/C,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/4138,NR/2025/27472/C,GNA/NR/2025/05/01/7902,NR/2025/27551/C,NR/2025/27531/C,NR/2025/27553/C,NR/2025/26825/A/75994,NR/2025/26829/A/75991,NR/2025/27566/C,NR/2025/27480/C,NR/2025/26082/A/76072,NR/2025/26291/A/76003,NR/2025/25859/A/75976,NR/2025/26822/A/75995,NR/2025/27474/C,NR/2025/27498/C,NR/2025/26101/A/75749,NR/2025/26379/A/75961,NR/2025/27475/C,NR/2025/26785/A/75482,NR/2025/25861/A/75974,NR/2025/27149/A/75615,NR/2025/27476/C,NR/2025/25860/A/75975,NR/2025/26959/A/75621,NR/2025/26085/A/75461,NR/2025/26265/A/76005,NR/2025/27479/C,NR/2025/26005/A/75551,NR/2025/26202/A/76071,NR/2025/27564/C,NR/2025/26336/A/75719,NR/2025/27518/C,NR/2025/27565/C,NR/2025/26191/A/75546,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6363,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,Total
40,09:45-10:00,168,10.63,52.25,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,6.76,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.72,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1942.6399999999999

41,10:00-10:15,175,12.56,59.86,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,3.86,4.83,0,6.76,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.53,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1959.9499999999994

42,10:15-10:30,182,12.56,62.81,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,3.86,4.83,0,6.76,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.53,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1969.8999999999996

43,10:30-10:45,182,12.56,57.7,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,3.86,4.83,0,6.76,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.53,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1964.7899999999995

44,10:45-11:00,189,12.56,59.8,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,3.86,4.83,0,6.76,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.53,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1973.8899999999994

45,11:00-11:15,196,13.53,57.91,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.35,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1980.7599999999998

46,11:15-11:30,196,13.53,59.25,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.35,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1982.1

47,11:30-11:45,189,13.53,60.11,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.35,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1975.9599999999996

48,11:45-12:00,189,13.53,61.06,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.35,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1976.9099999999999

49,12:00-12:15,189,13.53,61.71,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.07,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,1977.46

50,12:15-12:30,189,13.53,62.4,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.07,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,1978.15

51,12:30-12:45,189,13.53,66.35,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.07,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,1982.1

52,12:45-13:00,189,13.53,66.23,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.07,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,1981.98

53,13:00-13:15,193,13.53,66.55,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,14.89,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,1986.1200000000003

54,13:15-13:30,193,13.53,66.2,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,14.89,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,1985.77

55,13:30-13:45,193,13.53,65.52,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,14.89,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,1985.0900000000001

56,13:45-14:00,193,13.53,64.26,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,8.69,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,14.89,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,1983.8300000000004

57,14:00-14:15,186,11.59,62.82,0,48.3,0,164.24,0,0,0,0,0,108.55,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,62.8,0,0,96.61,0,24.15,48.3,33.81,0,4.83,0,111.1,2.9,4.83,0,9.66,0,0,53.14,39.61,0,0,0,164.24,0,0,0,0,14.7,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2116.41

58,14:15-14:30,179,11.59,60.72,0,48.3,0,164.24,0,0,0,0,0,108.55,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,62.8,0,0,96.61,0,24.15,48.3,33.81,0,4.83,0,111.1,2.9,4.83,0,9.66,0,0,53.14,39.61,0,0,0,164.24,0,0,0,0,14.7,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2107.31

59,14:30-14:45,172,11.59,57.82,0,48.3,0,164.24,0,0,0,0,0,108.55,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,62.8,0,0,96.61,0,24.15,48.3,33.81,0,4.83,0,111.1,2.9,4.83,0,9.66,0,0,53.14,39.61,0,0,0,164.24,0,0,0,0,14.7,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2097.41

60,14:45-15:00,165,11.59,55.68,0,48.3,0,164.24,0,0,0,0,0,108.55,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,62.8,0,0,96.61,0,24.15,48.3,33.81,0,4.83,0,111.1,2.9,4.83,0,9.66,0,0,53.14,39.61,0,0,0,164.24,0,0,0,0,14.7,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2088.27

61,15:00-15:15,154,8.69,52.78,0,48.3,0,164.24,0,0,0,0,0,108.55,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,62.8,0,0,96.61,0,24.15,48.3,33.81,0,4.83,0,111.1,1.93,4.83,0,11.59,0,0,53.14,39.61,0,0,0,164.24,0,0,0,0,14.89,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2072.62

62,15:15-15:30,144,8.69,49.93,0,48.3,0,164.24,0,0,0,0,0,108.55,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,62.8,0,0,96.61,0,24.15,48.3,33.81,0,4.83,0,111.1,1.93,4.83,0,11.59,0,0,53.14,39.61,0,0,0,164.24,0,0,0,0,14.89,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2059.77

63,15:30-15:45,133,8.69,47.04,0,48.3,0,164.24,0,0,0,0,0,108.55,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,62.8,0,0,96.61,0,24.15,48.3,33.81,0,4.83,0,111.1,1.93,4.83,0,11.59,0,0,53.14,39.61,0,0,111.1,164.24,0,0,0,0,14.89,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2156.9799999999996

64,15:45-16:00,123,8.69,43.53,0,48.3,0,164.24,0,0,0,0,0,108.55,37.33,0,96.61,0,14.64,43.91,26.7,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,62.8,0,0,96.61,0,24.15,48.3,33.81,0,4.83,0,111.1,1.93,4.83,0,11.59,0,0,53.14,39.61,0,0,111.1,164.24,0,0,0,0,14.89,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2143.47

65,16:00-16:15,98,5.8,40.19,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,108.55,0,0,0,0,0,0,26.7,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,53.14,111.1,1.93,0,0,11.59,0.82,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,0,15.07,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2169.2699999999995

66,16:15-16:30,88,5.8,35.62,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,108.55,0,0,0,0,0,0,26.7,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,53.14,111.1,1.93,0,0,11.59,0.82,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,0,15.07,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2154.6999999999994

67,16:30-16:45,74,5.8,24.78,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,108.55,0,0,0,0,0,0,26.7,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,53.14,111.1,1.93,0,0,11.59,0.82,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,0,15.07,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2129.8599999999997

68,16:45-17:00,60,5.8,23.3,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,108.55,0,0,0,0,0,0,26.7,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,53.14,111.1,1.93,0,0,11.59,0.82,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,0,15.07,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2114.3799999999997

69,17:00-17:15,46,0,21.07,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,26.7,62.8,0,14.49,0,0,0,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.68,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,0,15.35,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2135.9599999999996

70,17:15-17:30,32,0,18.13,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,26.7,62.8,0,14.49,0,0,0,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.68,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,0,15.35,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2119.0199999999995

71,17:30-17:45,21,0,13.34,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,26.7,62.8,0,14.49,0,0,0,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.68,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,0,15.35,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2103.2299999999996

72,17:45-18:00,14,0,9.04,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,26.7,62.8,0,14.49,0,0,0,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.68,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,0,15.35,28.98,0,10.63,82.12,26.7,13.53,20.53,0,164.24,17.56,2091.9299999999994

73,18:00-18:15,7,0,4.27,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,26.7,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.68,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,13.68,28.98,67.63,10.63,82.12,26.7,13.53,20.53,19.32,164.24,17.56,2211.9999999999995

74,18:15-18:30,6,0,2.73,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,26.7,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.68,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,13.68,28.98,67.63,10.63,82.12,26.7,13.53,20.53,19.32,164.24,17.56,2209.4599999999996

75,18:30-18:45,3,0,1.24,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,26.7,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.68,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,13.68,28.98,67.63,10.63,82.12,26.7,13.53,20.53,19.32,164.24,17.56,2204.97

76,18:45-19:00,1,0,0.5,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,26.7,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.68,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,13.68,28.98,67.63,10.63,82.12,26.7,13.53,20.53,19.32,164.24,17.56,2202.229999999999

77,19:00-19:15,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,26.7,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.72,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,26.7,13.53,20.53,19.32,164.24,17.56,2202.1599999999994

78,19:15-19:30,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,26.7,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.72,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,26.7,13.53,20.53,19.32,164.24,17.56,2202.1599999999994

79,19:30-19:45,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,29,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.72,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,25.55,13.53,20.53,19.32,164.24,17.56,2203.309999999999

80,19:45-20:00,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,29,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,11.59,0.72,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,25.55,13.53,20.53,19.32,164.24,17.56,2203.309999999999

81,20:00-20:15,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,9.66,0.77,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2205.879999999999

82,20:15-20:30,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,9.66,0.77,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2205.879999999999

83,20:30-20:45,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,9.66,0.77,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2205.879999999999

84,20:45-21:00,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,162.84,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,9.66,0.77,96.61,0,48.3,96.61,0,111.1,0,0,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2205.879999999999

85,21:00-21:15,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,9.66,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2345.2899999999995

86,21:15-21:30,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,9.66,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2345.2899999999995

87,21:30-21:45,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,9.66,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2345.2899999999995

88,21:45-22:00,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,1.93,0,0,9.66,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,15.07,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2345.2899999999995

89,22:00-22:15,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,2.9,0,0,7.73,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,14.61,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2343.8699999999994

90,22:15-22:30,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,2.9,0,0,7.73,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,14.61,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2343.8699999999994

91,22:30-22:45,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,2.9,0,0,7.73,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,14.61,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2343.8699999999994

92,22:45-23:00,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,5.8,0,0,29.5,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,33.81,164.24,0,0,111.1,2.9,0,0,7.73,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,14.61,28.98,67.63,10.63,82.12,29.5,13.53,20.53,19.32,164.24,17.56,2343.8699999999994

