Column1,Block,NR/2024/23099/C,NR/2024/23100/C,NR/2024/23017/A/36879,NR/2024/22820/A/36830,NR/2024/23091/C,NR/2024/22832/A/37131,NR/2024/22833/A/37130,NR/2024/23089/C,NR/2024/22888/A/37072,SR/2024/14151/C,NR/2024/22835/A/37056,NR/2024/22860/A/37095,NR/2024/22848/A/37099,NR/2024/23084/C,NR/2024/23090/C,GNA/NR/2024/09/01/7119,NR/2024/23038/A/36823,NR/2024/22874/A/37132,NR/2024/22816/A/36845,NR/2024/22839/A/37128,NR/2024/22837/A/37129,NR/2024/21658/A/36824,NR/2024/22802/A/37124,NR/2024/22753/A/37074,NR/2024/22734/A/37045,NR/2024/22754/A/37071,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/2171,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/7908,Total
74,18:15-18:30,0,0,11.62,4.84,28.09,37.41,37.41,0.46,25.16,29.06,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1157.07

75,18:30-18:45,0,0,11.62,4.84,28.09,37.41,37.41,0.27,43.58,29.06,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1175.3

76,18:45-19:00,0,0,11.62,4.84,28.09,37.41,37.41,0.04,43.58,111.38,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1257.39

77,19:00-19:15,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,111.38,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1257.3500000000001

78,19:15-19:30,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,116.22,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1262.19

79,19:30-19:45,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,130.75,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1276.7200000000003

80,19:45-20:00,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,135.59,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1281.5600000000002

81,20:00-20:15,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,150.12,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1296.0400000000002

82,20:15-20:30,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,159.8,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1305.72

83,20:30-20:45,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,159.8,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1305.72

84,20:45-21:00,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,169.49,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1315.41

85,21:00-21:15,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,169.49,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,0,0,82.32,18.4,1315.22

86,21:15-21:30,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,169.49,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,0,0,82.32,18.4,1315.22

87,21:30-21:45,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,169.49,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,0,0,82.32,18.4,1315.22

88,21:45-22:00,0,0,11.62,4.84,28.09,37.41,37.41,0,43.58,164.64,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,0,0,82.32,18.4,1310.3700000000001

89,22:00-22:15,0,0,10.65,4.84,28.09,37.41,37.41,0,43.58,217.91,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,0,0,82.32,18.4,1604.79

90,22:15-22:30,0,0,10.65,4.84,28.09,37.41,37.41,0,43.58,213.07,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,0,0,82.32,18.4,1599.9499999999998

91,22:30-22:45,0,0,9.68,4.84,28.09,37.41,37.41,0,67.8,227.6,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,0,0,82.32,18.4,1637.7299999999998

92,22:45-23:00,0,0,9.68,4.84,28.09,37.41,37.41,0,67.8,227.6,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,0,0,82.32,18.4,1637.7299999999998

93,23:00-23:15,0,0,9.68,4.84,28.09,37.41,37.41,0,67.8,222.76,94.33,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.57,0,0,0,82.32,18.4,1634.0499999999997

94,23:15-23:30,0,0,9.68,4.84,28.09,37.41,37.41,0,67.8,222.76,94.33,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.57,0,0,0,82.32,18.4,1634.0499999999997

95,23:30-23:45,0,0,9.68,4.84,28.09,37.41,37.41,0,67.8,222.76,94.33,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.57,0,0,0,82.32,18.4,1634.0499999999997

96,23:45-24:00,0,0,9.68,4.84,28.09,37.41,37.41,0,67.8,0,94.33,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.77,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.57,0,0,0,82.32,18.4,1411.2899999999997

