Time,Block,NR/2023/15309/F,NR/2023/12591/A,NR/2023/16423/C,NR/2023/12167/A,NR/2023/16419/D,NR/2023/12148/A,NR/2023/16421/D,NR/2023/12422/A,NR/2023/12431/A,NR/2023/16424/C,NR/2023/12168/A,NR/2023/14898/A,NR/2023/13635/A,NR/2023/16190/F,NR/2023/14895/A,NR/2023/14746/A,NR/2023/12592/A,NR/2023/16436/C,NR/2023/13862/A,NR/2023/14737/A,NR/2023/12347/A,NR/2023/15402/F,NR/2023/16435/C,NR/2023/12052/A,NR/2023/16434/C,NR/2023/15057/F,NR/2023/16429/C,ER/2023/10220/C,ER/2023/10223/C,NR/2023/12053/A,NR/2023/14745/A,NR/2023/16402/D,SR/2023/8911/C,NR/2023/16431/C,WR/2023/18394/C,Total
64,15:45-16:00,4.840000,50.060000,4.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.920000,14.080000,0.000000,0.000000,0.000000,24.180000,4.54,0.00,17.41,0.000000,1187.08

65,16:00-16:15,4.840000,50.060000,7.060000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.820000,14.170000,100.000000,0.000000,0.000000,24.180000,3.77,0.00,9.67,0.000000,1281.59

66,16:15-16:30,4.840000,50.060000,7.060000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.820000,14.170000,100.000000,0.000000,0.000000,24.180000,1.87,0.00,9.67,0.000000,1279.69

67,16:30-16:45,4.840000,50.060000,7.060000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.820000,14.170000,100.000000,0.000000,0.000000,24.180000,2.06,0.00,9.67,23.000000,1302.88

68,16:45-17:00,4.840000,50.060000,7.060000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.820000,14.170000,100.000000,0.000000,0.000000,24.180000,1.84,0.00,9.67,23.000000,1302.66

69,17:00-17:15,4.840000,50.060000,7.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,0.000000,0.820000,14.350000,100.000000,100.000000,0.000000,24.180000,1.29,0.00,0,18.000000,1243.56

70,17:15-17:30,4.840000,50.060000,7.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,0.000000,0.820000,14.350000,100.000000,100.000000,0.000000,24.180000,1.11,0.00,0,18.000000,1243.38

71,17:30-17:45,4.840000,50.060000,7.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,0.000000,0.820000,14.350000,100.000000,100.000000,0.000000,24.180000,0.92,0.00,0,18.000000,1243.19

72,17:45-18:00,4.840000,50.060000,7.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,0.000000,0.820000,14.350000,100.000000,100.000000,0.000000,24.180000,0.44,0.00,0,18.000000,1242.71

73,18:00-18:15,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.870000,14.550000,100.000000,100.000000,36.500000,0.000000,0.25,0.00,0,18.000000,1320.91

74,18:15-18:30,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.870000,14.550000,100.000000,100.000000,36.500000,0.000000,0.1,0.00,0,18.000000,1320.76

75,18:30-18:45,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.870000,14.550000,100.000000,100.000000,36.500000,0.000000,0,0.00,0,18.000000,1320.66

76,18:45-19:00,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.870000,14.550000,100.000000,100.000000,36.500000,0.000000,0,40.00,0,18.000000,1360.66

77,19:00-19:15,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.920000,14.730000,0.000000,100.000000,36.500000,0.000000,0,100.00,0,0.000000,1325.14

78,19:15-19:30,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.920000,14.730000,0.000000,100.000000,36.500000,0.000000,0,100.00,0,0.000000,1325.14

79,19:30-19:45,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.920000,14.730000,0.000000,100.000000,36.500000,0.000000,0,100.00,0,0.000000,1325.14

80,19:45-20:00,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.920000,14.730000,0.000000,100.000000,36.500000,0.000000,0,100.00,0,0.000000,1325.14

81,20:00-20:15,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.920000,14.920000,0.000000,100.000000,36.500000,0.000000,0,100.00,0,0.000000,1325.33

82,20:15-20:30,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.920000,14.920000,0.000000,100.000000,36.500000,0.000000,0,100.00,0,0.000000,1325.33

83,20:30-20:45,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,8.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.920000,14.920000,0.000000,100.000000,36.500000,0.000000,0,100.00,0,0.000000,1333.33

84,20:45-21:00,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,14.000000,0.000000,29.020000,48.360000,0.000000,72.550000,63.120000,64.810000,0.920000,14.920000,0.000000,100.000000,36.500000,0.000000,0,0.00,0,0.000000,1239.33

85,21:00-21:15,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,19.000000,0.000000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.920000,15.100000,0.000000,100.000000,36.500000,0.000000,0,0.00,0,0.000000,1288.04

86,21:15-21:30,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,19.000000,0.000000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.920000,15.100000,0.000000,100.000000,36.500000,0.000000,0,0.00,0,0.000000,1288.04

87,21:30-21:45,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,24.000000,0.000000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.920000,15.100000,0.000000,100.000000,36.500000,0.000000,0,0.00,0,0.000000,1293.04

88,21:45-22:00,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,30.000000,0.000000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.920000,15.100000,0.000000,100.000000,36.500000,0.000000,0,0.00,0,0.000000,1299.04

89,22:00-22:15,4.840000,50.060000,8.070000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,35.000000,23.150000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.920000,15.000000,0.000000,50.000000,36.500000,0.000000,0,0.00,0,0.000000,1403.8

90,22:15-22:30,4.840000,50.060000,7.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,40.000000,23.150000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.920000,15.000000,0.000000,50.000000,36.500000,0.000000,0,0.00,0,0.000000,1407.79

91,22:30-22:45,4.840000,50.060000,7.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,40.000000,23.150000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.920000,15.000000,0.000000,50.000000,36.500000,0.000000,0,0.00,0,0.000000,1407.79

92,22:45-23:00,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,40.000000,23.150000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.920000,15.000000,0.000000,50.000000,36.500000,0.000000,0,0.00,0,0.000000,1406.79

93,23:00-23:15,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,34.000000,23.150000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.870000,14.920000,0.000000,50.000000,36.500000,0.000000,0,0.00,0,0.000000,1400.66

94,23:15-23:30,4.840000,50.060000,5.040000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,29.000000,23.150000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.870000,14.920000,0.000000,50.000000,36.500000,0.000000,0,0.00,0,0.000000,1394.64

95,23:30-23:45,4.840000,50.060000,5.040000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,24.000000,23.150000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.870000,14.920000,0.000000,50.000000,36.500000,0.000000,0,0.00,0,0.000000,1389.64

96,23:45-24:00,4.840000,50.060000,5.040000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,22.250000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,18.000000,23.150000,29.020000,91.890000,0.000000,72.550000,63.120000,64.810000,0.870000,14.920000,0.000000,50.000000,36.500000,0.000000,0,0.00,0,0.000000,1383.64

