Column1,Block,NR/2024/21814/A/34235,NR/2024/22498/A/34187,NR/2024/21974/A/34234,NR/2024/21938/A/34178,NR/2024/21943/A/34225,NR/2024/21971/A/34233,NR/2024/22623/A/33952,NR/2024/22014/A/33914,NR/2024/22279/A/33910,NR/01102023/02012046/L_NR_2021_17,NR/2024/21968/A/34230,NR/2024/21658/A/33891,NR/2024/22010/A/34188,NR/2024/21983/A/33922,NR/2024/21961/A/34177,NR/2024/21970/A/34231,NR/2024/21940/A/34227,NR/2024/21933/A/33923,NR/2024/21918/A/34189,NR/2024/21911/A/34157,NR/2024/22042/A/33913,NR/2024/21860/A/34232,NR/2024/21954/A/34226,NR/2024/21966/A/33936,NR/2024/21956/A/34228,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2024/22610/A/34122,NR/2024/22611/A/34124,NR/01102023/14082046/L_NR_2021_16,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/16082024/31082024/MPL/24-25/STOA/128,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/jitpl,NR/2024/22779/C,NR/16082024/31082024/APL-Raigarh_august,NR/2024/22782/C,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22783/C,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/SKS-Raigarh,NR/2024/22784/C,Total
63,15:30-15:45,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,0,1261.0336

64,15:45-16:00,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,0,1261.0336

65,16:00-16:15,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.82,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,23.4417,23.4417,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,0,1254.0254

66,16:15-16:30,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.82,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,23.4417,23.4417,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,0,1254.0254

67,16:30-16:45,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.82,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,23.4417,23.4417,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,0,1254.0254

68,16:45-17:00,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.82,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,23.4417,23.4417,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,0,1254.0254

69,17:00-17:15,48.44,0,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.78,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,23.4417,23.4417,0,0,0,24.22,16.01,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1247.2054

70,17:15-17:30,48.44,0,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.78,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,23.4417,23.4417,0,0,0,24.22,16.01,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1247.2054

71,17:30-17:45,48.44,0,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.78,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,23.4417,23.4417,0,0,0,24.22,16.01,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1247.2054

72,17:45-18:00,48.44,0,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.78,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,23.4417,23.4417,0,0,0,24.22,16.01,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1247.2054

73,18:00-18:15,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1243.1735999999999

74,18:15-18:30,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1243.1735999999999

75,18:30-18:45,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1262.5536

76,18:45-19:00,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1262.5536

77,19:00-19:15,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1262.5536

78,19:15-19:30,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1262.5536

79,19:30-19:45,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1262.5536

80,19:45-20:00,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1262.5536

81,20:00-20:15,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,32,25.6513,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1266.4633

82,20:15-20:30,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,32,25.6513,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1266.4633

83,20:30-20:45,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,32,25.6513,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1266.4633

84,20:45-21:00,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,32,25.6513,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1266.4633

85,21:00-21:15,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,32,25.6513,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1266.4633

86,21:15-21:30,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,32,25.6513,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1266.4633

87,21:30-21:45,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,32,15.8736,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1256.6856

88,21:45-22:00,48.44,0,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.78,0,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,32,15.8736,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1256.6856

89,22:00-22:15,48.44,0,26.42,32.7,38.76,26.42,10.66,1.94,4.84,0,26.42,0.78,0,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,23.4417,23.4417,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1385.5254

90,22:15-22:30,48.44,0,26.42,32.7,38.76,26.42,10.66,1.94,4.84,0,26.42,0.78,0,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,43.6,23.4417,23.4417,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1385.5254

91,22:30-22:45,48.44,0,26.42,32.7,38.76,26.42,9.69,1.94,4.84,0,26.42,0.78,0,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,23.4417,23.4417,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1408.7754

92,22:45-23:00,48.44,0,26.42,32.7,38.76,26.42,9.69,1.94,4.84,0,26.42,0.78,0,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,23.4417,23.4417,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1408.7754

93,23:00-23:15,48.44,0,26.42,32.7,38.76,26.42,9.69,1.94,4.84,0,26.42,0.73,0,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1415.5836000000002

94,23:15-23:30,48.44,0,26.42,32.7,38.76,26.42,9.69,1.94,4.84,0,26.42,0.73,0,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1415.5836000000002

95,23:30-23:45,48.44,0,26.42,32.7,38.76,26.42,9.69,1.94,4.84,0,26.42,0.73,0,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1415.5836000000002

96,23:45-24:00,48.44,0,26.42,32.7,38.76,26.42,9.69,1.94,4.84,0,26.42,0.73,0,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,17.85,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1415.5836000000002

