Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/01102023/22052037/LT-59,GNA/NR/2025/02/01/2594,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/4863,GNA/WR/2024/11/01/4200,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,NR/01102023/05012040/L_NR_2020_02,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2025/02/01/9969,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460
81,20:00-20:15,0,0,0,0,0,13.33,10.83,28.34,0,0,10.83,32.51,0,0,28.33,0,0.63,31.74,258.72,259.55,31.74,8.66,150,8.66,50,0.96,0,86.75,100.2,104.68,32,0,0,0,26.12,0,1.3,0,0,17.41,0,31.74,1.47,50,75

82,20:15-20:30,0,0,0,0,0,13.33,10.83,30,0,0,10.83,32.51,0,0,30,0,0.63,31.74,271.95,259.55,31.74,8.66,150,8.66,50,0.96,0,86.75,100.2,96.19,32,0,0,0,26.12,0,1.3,0,0,17.81,0,31.74,1.47,50,75

83,20:30-20:45,0,0,0,0,0,16.67,15.83,36.66,0,0,15.83,47.51,0,0,36.67,0,0,31.74,271.95,259.55,31.74,8.66,150,8.66,50,0.96,0,86.75,100.2,87.71,32,0,0,0,26.12,0,1.3,0,0,18.21,0,31.74,1.47,50,75

84,20:45-21:00,0,0,0,0,0,17.33,16.5,40,0,0,16.5,49.5,0,0,40,0,0,31.74,271.95,259.55,31.74,8.66,150,8.66,50,0.96,0,86.75,100.2,70.16,32,0,0,0,26.12,0,1.3,0,0,18.61,0,31.74,1.47,50,75

85,21:00-21:15,0,0,0,0,0,18,17,41.66,0,0,17,51,0,0,41.67,0,0.7,31.74,271.95,259.55,31.74,8.66,150,8.66,50,0.96,0,86.75,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,18.61,0,31.74,1.47,50,75

86,21:15-21:30,0,0,0,0,0,18.67,17.5,45,0,0,17.5,52.5,0,0,45,0,0.7,31.74,271.95,259.55,31.74,8.66,150,8.66,50,0.96,0,67.88,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,18.41,0,31.74,1.47,50,75

87,21:30-21:45,0,0,0,0,0,18.67,14.33,51.66,0,0,14.33,43.01,0,0,51.67,0,0.7,31.74,271.95,259.55,31.74,8.66,150,8.66,50,0.96,0,67.88,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,18.61,0,31.74,1.47,50,75

88,21:45-22:00,0,0,0,0,0,19.33,14.83,51.66,0,0,14.83,44.51,0,0,51.67,0,0.7,31.74,271.95,259.55,31.74,8.66,150,8.66,50,0.96,0,67.88,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,18.81,0,31.74,1.47,50,75

89,22:00-22:15,0,0,0,0,0,15,15.17,48.34,0,0,15.17,45.49,0,0,48.33,0,0.7,25.97,271.95,259.55,25.97,8.66,150,8.66,50,0.92,0,74.57,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,19.21,0,25.97,1.38,50,75

90,22:15-22:30,0,0,0,0,0,16.67,15.67,50.34,0,0,15.67,46.99,0,0,50.33,0,0.7,25.97,271.95,259.55,25.97,8.66,150,8.66,50,0.92,0,74.57,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,19.41,0,25.97,1.38,50,75

91,22:30-22:45,0,0,0,0,0,18.33,17.5,58.34,0,0,17.5,52.5,0,0,58.33,0,0,25.97,271.95,259.55,25.97,8.66,150,8.66,50,0.92,0,74.57,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,18.61,0,25.97,1.38,50,75

92,22:45-23:00,0,0,0,0,0,19.33,18,59,0,0,18,54,0,0,59,0,0,25.97,271.95,259.55,25.97,8.66,150,8.66,50,0.92,0,74.57,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,17.81,0,25.97,1.38,50,75

93,23:00-23:15,0,0,0,0,0,20,22.5,60,0,0,22.5,67.5,0,0,60,0,0.63,23.08,271.95,228.83,23.08,8.66,150,8.66,50,0.92,0,64.08,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,17.01,0,23.08,1.38,50,75

94,23:15-23:30,0,0,0,0,0,20.33,22.5,60,0,0,22.5,67.5,0,0,60,0,0.63,23.08,271.95,228.83,23.08,8.66,150,8.66,50,0.92,0,64.08,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,16.41,0,23.08,1.38,50,75

95,23:30-23:45,0,0,0,0,0,20.67,22.17,60,0,0,22.17,66.49,0,0,60,0,0.63,23.08,271.95,228.83,23.08,8.66,150,8.66,50,0.92,0,64.08,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,14.81,0,23.08,1.38,50,75

96,23:45-24:00,0,0,0,0,0,21.33,21.67,60,0,0,21.67,64.99,0,0,60,0,0.63,23.08,271.95,199.02,23.08,8.66,150,8.66,50,0.92,0,59.47,100.2,70.16,26.99,0,0,0,26.99,0,1.3,0,0,13.41,0,23.08,1.38,50,75

