Column1,Block,NR/2025/30083/A/86141,NR/2025/30086/A/86136,NR/2025/30817/C,NR/2025/30084/A/86139,NR/2025/29910/A/86152,NR/2025/26975/A/86160,NR/2025/27978/A/86205,NR/2025/30105/A/86134,NR/2025/29352/A/85692,NR/2025/27962/A/86069,NR/2025/27964/A/86071,NR/2025/27970/A/86073,NR/2025/30813/C,NR/2025/30774/C,NR/2025/27963/A/86070,NR/2025/27968/A/86072,NR/2025/30814/C,NR/2025/28725/A/86049,NR/2025/30815/C,NR/2025/30811/C,NR/2025/29353/A/85691,NR/2025/30798/C,NR/2025/30696/C,NR/2025/29986/A/85793,NR/2025/30758/C,NR/2025/30799/C,NR/2025/30759/C,NR/2025/30760/C,NR/2025/30764/C,NR/2025/29992/A/85760,NR/2025/30712/C,NR/2025/30082/A/86127,NR/2025/30748/C,NR/2025/30334/A/85652,NR/2025/29985/A/85790,NR/2025/30835/C,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/3109,NR/2025/30492/A/85743,NR/2025/30807/C,NR/2025/30217/A/86133,NR/2025/29440/A/85686,NR/2025/30808/C,NR/2025/30101/A/86201,NR/2025/30067/A/86115,NR/2025/29439/A/85762,NR/2025/30834/C,NR/2025/30191/A/85656,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/05/9146,GNA/NR/2025/07/01/8139,NR/2025/30121/A/85659,NR/2025/30804/C,GNA/NR/2025/07/01/2786,NR/2025/29167/A/85877,NR/2025/30837/C,NR/2025/30803/C,GNA/NR/2025/07/01/2236,NR/2025/30831/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1192,NR/2025/29628/A/86156,NR/2025/29915/A/85876,GNA/NR/2025/07/01/2997,GNARE/NR/2024/12/20/3668,NR/2025/30793/C,Total
42,10:15-10:30,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,7.41,179,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,15.94,0,0,0,15.26,69.38,1.53,1876.8999999999999

43,10:30-10:45,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.26,182,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.58,0,0,0,15.26,83.33,2.45,1893.26

44,10:45-11:00,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,186,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.58,0,0,0,15.26,85,2.45,1898.9199999999998

45,11:00-11:15,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,182,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.49,0,0,0,15.26,86.67,2.45,1896.5

46,11:15-11:30,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,182,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.49,0,0,0,15.26,88.33,6.43,1902.1399999999999

47,11:30-11:45,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,182,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.49,0,0,0,15.26,96.67,2.93,1906.98

48,11:45-12:00,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,182,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.49,0,0,0,15.26,96.67,2.93,1906.98

49,12:00-12:15,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,182,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,96.67,2.93,1906.91

50,12:15-12:30,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,182,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,96.67,2.93,1906.91

51,12:30-12:45,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,182,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,95,2.93,1905.24

52,12:45-13:00,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,182,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,93.33,2.93,1903.57

53,13:00-13:15,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,182,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,98.33,2.93,1908.57

54,13:15-13:30,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,182,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,98.33,2.93,1908.57

55,13:30-13:45,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,175,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,96.67,2.93,1899.91

56,13:45-14:00,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.25,168,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,95,2.93,1891.24

57,14:00-14:15,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,134.75,144.38,96.25,144.38,96.25,48.12,0,44.28,0,143.17,5.25,168,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,93.33,2.93,2313.08

58,14:15-14:30,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,134.75,144.38,96.25,144.38,96.25,48.12,0,44.28,0,143.17,5.25,161,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,91.67,2.93,2304.42

59,14:30-14:45,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,134.75,144.38,96.25,144.38,96.25,48.12,0,44.28,0,143.17,6.74,154,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,78,2.93,2285.24

60,14:45-15:00,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,134.75,144.38,96.25,144.38,96.25,48.12,0,44.28,0,143.17,7.03,147,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.4,0,0,0,15.26,73.5,2.93,2274.0299999999997

61,15:00-15:15,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,134.75,144.38,96.25,144.38,96.25,48.12,0,44.28,0,143.17,7.11,137,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.58,0,0,0,15.26,69,2.93,2259.7899999999995

62,15:15-15:30,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,134.75,144.38,96.25,144.38,96.25,48.12,0,44.28,0,143.17,6.86,130,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.58,0,0,0,15.26,64.5,2.93,2248.0399999999995

63,15:30-15:45,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,134.75,144.38,96.25,144.38,96.25,48.12,0,44.28,0,143.17,6.47,119,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.58,0,0,0,15.26,60,2.93,2232.1499999999996

64,15:45-16:00,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,134.75,144.38,96.25,144.38,96.25,48.12,0,44.28,0,143.17,6.03,109,0,26.97,26.97,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,16.58,0,0,0,15.26,54.29,2.93,2216

65,16:00-16:15,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,5.54,98,0,26.97,26.97,20.76,19.25,13.48,0,7.7,0.96,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,16.85,0,76.63,0,15.26,54.1,2.18,2235.68

66,16:15-16:30,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,5.1,91,0,26.97,26.97,20.76,19.25,13.48,0,7.7,0.96,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,16.85,0,76.63,0,15.26,48.47,2.18,2222.6099999999997

67,16:30-16:45,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,4.65,81,0,26.97,26.97,20.76,19.25,13.48,0,7.7,0.96,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,16.85,0,76.63,0,15.26,42.85,1.21,2205.57

68,16:45-17:00,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,4.17,74,0,26.97,26.97,20.76,19.25,13.48,0,7.7,0.96,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,16.85,0,76.63,0,15.26,38.8,1.08,2193.9100000000003

69,17:00-17:15,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,63,0,26.97,26.97,20.76,19.25,13.48,0,7.7,0.87,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,17.13,0,76.63,0,15.26,34.44,0.94,2174.43

70,17:15-17:30,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,56,0,26.97,26.97,20.76,19.25,13.48,0,7.7,0.87,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,17.13,0,76.63,0,15.26,30.09,0.81,2162.95

71,17:30-17:45,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,46,0,26.97,26.97,20.76,19.25,13.48,0,7.7,0.87,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,17.13,0,76.63,0,15.26,29.6,0.67,2152.3199999999997

72,17:45-18:00,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,35,0,26.97,26.97,20.76,19.25,13.48,0,7.7,0.87,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,17.13,0,76.63,0,15.26,24.6,0.54,2136.1899999999996

73,18:00-18:15,14.58,37.19,0,43.75,16.59,5.78,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,28,0,29,26.73,20.76,0,13.48,0,7.7,0.87,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,17.59,0,76.63,0,0,20.25,0.4,2155.8699999999994

74,18:15-18:30,14.58,37.19,0,43.75,16.59,5.78,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,21,0,29,26.73,20.76,0,13.48,0,7.7,0.87,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,17.59,0,76.63,0,0,15.9,0.27,2144.3899999999994

75,18:30-18:45,14.58,37.19,0,43.75,19.25,5.78,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,14,0,29,26.73,20.76,0,13.48,0,7.7,0.87,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,17.59,0,76.63,0,0,11.55,0.13,2135.56

76,18:45-19:00,14.58,37.19,0,43.75,19.25,5.78,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,11,0,29,26.73,20.76,0,13.48,0,7.7,0.87,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,17.59,0,76.63,0,0,7.2,0.13,2128.2099999999996

77,19:00-19:15,14.58,37.19,0,43.75,19.25,5.78,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,5,0,29,29,20.76,0,13.48,0,7.7,0.91,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,17.96,0,76.63,0,0,4.05,0,2121.6099999999997

78,19:15-19:30,14.58,37.19,0,43.75,19.25,5.78,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,1,0,29,29,20.76,0,13.48,0,7.7,0.91,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,17.96,0,76.63,0,0,2.02,0,2115.5799999999995

79,19:30-19:45,14.58,37.19,0,43.75,19.25,5.78,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,29,29,20.76,0,13.48,0,0,0.91,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,17.96,0,76.63,0,0,1.03,0,2105.89

80,19:45-20:00,14.58,37.19,0,43.75,19.25,5.78,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,29,29,20.76,0,13.48,0,0,0.91,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,17.96,0,76.63,0,0,0,0,2104.8599999999997

81,20:00-20:15,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,29,29,20.76,0,13.48,0,0,0.91,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,14.44,18.24,0,76.63,0,0,0,0,2242.0499999999997

82,20:15-20:30,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,29,29,20.76,0,13.48,0,0,0.91,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,17.32,18.24,0,76.63,0,0,0,0,2244.93

83,20:30-20:45,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,29,29,20.76,0,13.48,0,0,0.91,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,25.02,18.24,0,76.63,0,0,0,0,2252.6299999999997

84,20:45-21:00,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,29,29,20.76,0,13.48,0,0,0.91,0,48.12,0,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,30.8,18.24,0,76.63,0,0,0,0,2258.41

85,21:00-21:15,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,13.48,0,0,0.91,0,48.12,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,39.46,18.24,0,105.88,0,0,0,0,2469.5699999999993

86,21:15-21:30,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,13.48,0,0,0.91,0,48.12,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,49.09,18.24,0,105.88,0,0,0,0,2479.1999999999994

87,21:30-21:45,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,13.48,0,0,0.91,0,48.12,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,52.94,18.24,0,105.88,0,0,0,0,2483.0499999999993

88,21:45-22:00,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,13.48,0,0,0.91,0,48.12,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,60.64,18.24,0,105.88,0,0,0,0,2490.749999999999

89,22:00-22:15,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,13.48,0,7.7,0.91,0,48.12,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,64.49,17.78,0,105.88,0,0,0,0,2501.8399999999992

90,22:15-22:30,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,13.48,0,7.7,0.91,0,48.12,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,70.26,17.78,0,105.88,0,0,0,0,2507.6099999999997

91,22:30-22:45,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,12.51,0,7.7,0.91,0,48.12,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,77,17.78,0,105.88,0,0,0,0,2513.3799999999997

92,22:45-23:00,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,12.51,0,7.7,0.91,0,15.56,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,90.48,17.78,0,105.88,0,0,0,0,2494.2999999999997

93,23:00-23:15,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,12.51,0,7.7,0.91,0,15.56,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,97.21,17.5,0,105.88,0,0,0,0,2500.7499999999995

94,23:15-23:30,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,12.51,0,7.7,0.91,0,15.56,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,101.06,17.5,0,105.88,0,0,0,0,2504.5999999999995

95,23:30-23:45,14.58,37.19,0,43.75,19.25,25.99,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,44.28,29,29,20.76,0,12.51,0,7.7,0.91,0,15.56,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,102.99,17.5,0,105.88,0,0,0,0,2506.5299999999993

96,23:45-24:00,14.58,37.19,0,43.75,19.25,26.13,96.25,29.16,28.63,96.25,144.38,144.38,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,15.06,29,29,20.76,0,12.51,0,7.7,0.91,0,15.56,0,25.1,32.72,48.12,224.98,96.25,134.99,6.74,163.87,43.75,54.14,48.12,27.91,81.81,97.21,17.5,0,105.88,0,0,0,0,2471.669999999999

