Column1,Block,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4444,NR/2025/28774/A/84064,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7762,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2868,NR/2025/27356/A/84207,GNARE/NR/2024/12/20/3668,NR/2025/30280/C,GNA/NR/2025/06/01/7663,NR/2025/30134/C,GNA/NR/2025/06/16/8791,NR/2025/30291/C/Alternate/1,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/20/3628,NR/2025/30278/C,NR/2025/30221/C,NR/2025/30279/C,NR/2025/30222/C,NR/2025/30126/C,NR/2025/30285/C,NR/2025/30212/C,NR/30092023/31122025/SH-07,NR/2025/30218/C,NR/2025/30266/C,NR/2025/30219/C,NR/2025/26565/A/84586,NR/2025/27782/A/84599,NR/2025/30282/C,NR/2025/27242/A/84264,NR/2025/27506/A/84071,NR/2025/29816/A/84189,NR/2025/27187/A/84606,NR/2025/30234/C,NR/2025/28719/A/84187,NR/2025/26566/A/84587,NR/2025/26861/A/84590,NR/2025/30289/C,NR/2025/27281/A/84653,NR/2025/26952/A/84133,NR/2025/27728/A/84601,NR/2025/27168/A/84039,NR/2025/30290/C,NR/2025/27100/A/84202,NR/2025/27157/A/84199,NR/2025/26572/A/84589,NR/2025/26777/A/84174,NR/2025/26785/A/84074,NR/2025/27726/A/84602,NR/2025/30291/C,NR/2025/26975/A/84609,NR/2025/26571/A/84588,NR/2025/26860/A/84510,NR/2025/27499/A/84618,NR/2025/27727/A/84600,NR/2025/27176/A/84607,NR/2025/26889/A/84619,NR/2025/27167/A/84037,NR/2025/26562/A/84585,NR/2025/27725/A/84603,NR/2025/26085/A/84061,NR/2025/29451/A/84205,NR/2025/27088/A/84654,NR/2025/27500/A/84072,NR/2025/27185/A/84608,NR/2025/30238/C,NR/2025/26445/A/84658,NR/2025/30239/C,Total
35,08:30-08:45,20.54,41.07,11.91,164.29,5.75,16.27,20.54,11.92,41.07,53.39,20.54,26.93,15.07,88,43.87,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,0.97,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.97,0,164.29,7.73,19.33,0,96.64,0,1875.42

36,08:45-09:00,20.54,41.07,11.91,164.29,5.8,16.27,20.54,11.92,41.07,53.39,20.54,26.93,15.07,105,50.02,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,0.97,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.97,0,164.29,7.73,19.33,0,96.64,0,1898.6200000000001

37,09:00-09:15,20.54,41.07,11.91,164.29,7.38,16.19,20.54,11.92,41.07,53.39,20.54,26.95,15.07,116,55.28,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,1962.7999999999997

38,09:15-09:30,20.54,41.07,11.91,164.29,8.09,16.19,20.54,11.92,41.07,53.39,20.54,26.95,15.07,130,59.72,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,1981.95

39,09:30-09:45,20.54,41.07,11.91,164.29,8.68,16.19,20.54,11.92,41.07,53.39,20.54,26.95,15.07,140,63.36,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,1996.18

40,09:45-10:00,20.54,41.07,11.91,164.29,8.7,16.19,20.54,11.92,41.07,53.39,20.54,26.95,15.07,151,66.75,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2010.5900000000001

41,10:00-10:15,20.54,41.07,11.91,164.29,9.25,16.09,20.54,11.92,41.07,53.39,20.54,26.95,15.07,165,69.95,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2028.24

42,10:15-10:30,20.54,41.07,11.91,164.29,9.19,16.09,20.54,11.92,41.07,53.39,20.54,26.95,15.07,175,73.18,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2041.41

43,10:30-10:45,20.54,41.07,11.91,164.29,8.59,16.09,20.54,11.92,41.07,53.39,20.54,26.95,10.63,179,76.25,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2043.44

44,10:45-11:00,20.54,41.07,11.91,164.29,8.59,16.09,20.54,11.92,41.07,53.39,20.54,26.95,10.63,182,79.29,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2049.48

45,11:00-11:15,20.54,41.07,11.91,164.29,8.59,16.09,20.54,11.92,41.07,53.39,20.54,26.95,10.63,186,81.96,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2056.15

46,11:15-11:30,20.54,41.07,11.91,164.29,8.59,16.09,20.54,11.92,41.07,53.39,20.54,26.95,10.63,186,84.43,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2058.62

47,11:30-11:45,20.54,41.07,11.91,164.29,8.59,16.09,20.54,11.92,41.07,53.39,20.54,26.95,10.63,186,86.39,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2060.58

48,11:45-12:00,20.54,41.07,11.91,164.29,8.59,16.09,20.54,11.92,41.07,53.39,20.54,26.95,10.63,186,87.97,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,0,26.95,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2062.16

49,12:00-12:15,20.54,41.07,11.91,164.29,8.59,16,20.54,11.92,41.07,53.39,20.54,26.97,10.63,196,88.9,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2208.3399999999997

50,12:15-12:30,20.54,41.07,11.91,164.29,8.59,16,20.54,11.92,41.07,53.39,20.54,26.97,10.63,196,89.39,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2208.83

51,12:30-12:45,20.54,41.07,11.91,164.29,8.59,16,20.54,11.92,41.07,53.39,20.54,26.97,10.63,196,100,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2219.44

52,12:45-13:00,20.54,41.07,11.91,164.29,8.59,16,20.54,11.92,41.07,53.39,20.54,26.97,10.63,196,100,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2219.44

53,13:00-13:15,20.54,41.07,11.91,164.29,8.59,16,20.54,11.92,41.07,53.39,20.54,26.97,10.63,196,100,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2219.44

54,13:15-13:30,20.54,41.07,11.91,164.29,8.59,16,20.54,11.92,41.07,53.39,20.54,26.97,10.63,196,100,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2219.44

55,13:30-13:45,20.54,41.07,11.91,164.29,8.59,16,20.54,11.92,41.07,53.39,20.54,26.97,10.63,196,100,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2219.44

56,13:45-14:00,20.54,41.07,11.91,164.29,8.59,16,20.54,11.92,41.07,53.39,20.54,26.97,10.63,189,98.33,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,0,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,0,0,0,7.73,41.07,1.93,1.93,0,5.8,8.7,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,0,0,0,0,19.33,96.64,76.94,2210.77

57,14:00-14:15,20.54,41.07,11.91,164.29,8.59,16.19,20.54,11.92,41.07,53.39,20.54,26.97,10.63,182,96.67,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,144.96,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,144.96,0,0,7.73,41.07,1.93,0,0,5.8,11.6,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,96.64,0,0,0,19.33,96.64,76.94,2589.83

58,14:15-14:30,20.54,41.07,11.91,164.29,8.59,16.19,20.54,11.92,41.07,53.39,20.54,26.97,10.63,172,95,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,144.96,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,144.96,0,0,7.73,41.07,1.93,0,0,5.8,11.6,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,96.64,0,0,0,19.33,96.64,76.94,2578.1600000000003

59,14:30-14:45,20.54,41.07,11.91,164.29,9.18,16.19,20.54,11.92,41.07,53.39,20.54,26.97,10.63,175,91.67,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,144.96,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,144.96,0,0,7.73,41.07,1.93,0,0,5.8,11.6,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,96.64,0,0,0,19.33,96.64,76.94,2578.42

60,14:45-15:00,20.54,41.07,11.91,164.29,9.15,16.19,20.54,11.92,41.07,53.39,20.54,26.97,10.63,165,87.33,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,144.96,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,144.96,0,0,7.73,41.07,1.93,0,0,5.8,11.6,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,96.64,0,0,0,19.33,96.64,76.94,2564.0499999999997

61,15:00-15:15,20.54,41.07,11.91,164.29,8.7,16.37,20.54,11.92,41.07,53.39,20.54,26.97,10.63,154,80,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,144.96,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,144.96,0,0,7.73,41.07,1.93,0,0,5.8,11.6,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,96.64,0,0,0,19.33,96.64,76.94,2545.45

62,15:15-15:30,20.54,41.07,11.91,164.29,8.54,16.37,20.54,11.92,41.07,53.39,20.54,26.97,10.63,144,75,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,144.96,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,144.96,0,0,7.73,41.07,1.93,0,0,5.8,11.6,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,96.64,0,0,0,19.33,96.64,76.94,2530.2899999999995

63,15:30-15:45,20.54,41.07,11.91,164.29,8.03,16.37,20.54,11.92,41.07,53.39,20.54,26.97,10.63,133,60.37,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,144.96,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,144.96,0,0,7.73,41.07,1.93,0,0,5.8,11.6,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,96.64,0,0,0,19.33,96.64,76.94,2504.1499999999996

64,15:45-16:00,20.54,41.07,11.91,164.29,7.21,16.37,20.54,11.92,41.07,53.39,20.54,26.97,10.63,123,56.76,24.16,41.07,53.15,15.32,0,19.33,20.85,8.05,144.96,24.16,129.13,24.88,24.16,135.3,26.97,90.36,164.29,144.96,0,0,7.73,41.07,1.93,0,0,5.8,11.6,0,0,164.29,0,0,0,20.54,28.03,0,0,0,0,0,0,164.53,0,0,0,0,0,0,0,20.54,15.83,0,0.97,96.64,0,0,0,19.33,96.64,76.94,2489.7199999999993

65,16:00-16:15,20.54,41.07,11.91,164.29,5.8,16.65,20.54,11.92,41.07,53.39,20.54,26.97,10.63,112,52.21,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.97,0,0,0,0,7.73,0,41.07,1.93,0,0,0,11.6,144.96,0,0,24.88,135.3,24.16,20.54,28.03,25.2,217.44,144.96,164.29,53.15,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2723.3100000000004

66,16:15-16:30,20.54,41.07,11.91,164.29,5.8,16.65,20.54,11.92,41.07,53.39,20.54,26.97,10.63,102,46.48,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.97,0,0,0,0,7.73,0,41.07,1.93,0,0,0,11.6,144.96,0,0,24.88,135.3,24.16,20.54,28.03,25.2,217.44,144.96,164.29,53.15,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2707.5800000000004

67,16:30-16:45,20.54,41.07,11.91,164.29,5.8,16.65,20.54,11.92,41.07,53.39,20.54,26.97,10.63,91,41,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.97,0,0,0,0,7.73,0,41.07,1.93,0.97,0,0,11.6,144.96,0,0,24.88,135.3,24.16,20.54,28.03,25.2,217.44,144.96,164.29,53.15,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2692.07

68,16:45-17:00,20.54,41.07,11.91,164.29,5.8,16.65,20.54,11.92,41.07,53.39,20.54,26.97,10.63,77,35.89,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.97,0,0,0,0,7.73,0,41.07,1.93,0.97,0,0,11.6,144.96,0,0,24.88,135.3,24.16,20.54,28.03,25.2,217.44,144.96,164.29,53.15,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2672.96

69,17:00-17:15,20.54,41.07,11.91,164.29,0,16.92,20.54,11.92,41.07,53.39,20.54,26.97,10.63,63,27.04,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.97,0,0,0,0,7.73,0,41.07,1.93,0.97,0,0,11.6,144.96,0,0,24.88,135.3,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2591.4300000000003

70,17:15-17:30,20.54,41.07,11.91,164.29,0,16.92,20.54,11.92,41.07,53.39,20.54,26.97,10.63,53,23.68,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.97,0,0,0,0,7.73,0,41.07,1.93,0.97,0,0,11.6,144.96,0,0,24.88,135.3,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2578.07

71,17:30-17:45,20.54,41.07,11.91,164.29,0,16.92,20.54,11.92,41.07,53.39,20.54,26.97,10.63,46,20.84,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.97,0,0,0,0,7.73,0,41.07,1.93,1.93,0,0,11.6,144.96,0,0,24.88,135.3,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2569.19

72,17:45-18:00,20.54,41.07,11.91,164.29,0,16.92,20.54,11.92,41.07,53.39,20.54,26.97,10.63,36,17.3,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.97,0,0,0,0,7.73,0,41.07,1.93,1.93,0,0,11.6,144.96,0,0,24.88,135.3,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2555.65

73,18:00-18:15,20.54,41.07,11.91,164.29,0,17.39,20.54,11.92,41.07,53.39,20.54,26.95,10.63,28,13.2,0,41.07,0,0,0,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,0,0,10.63,144.96,0,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,164.53,5.8,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2388.5299999999997

74,18:15-18:30,20.54,41.07,11.91,164.29,0,17.39,20.54,11.92,41.07,53.39,20.54,26.95,10.63,21,8.82,0,41.07,0,0,0,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,0,0,10.63,144.96,0,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,164.53,5.8,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2377.1499999999996

75,18:30-18:45,20.54,41.07,11.91,164.29,0,17.39,20.54,11.92,41.07,53.39,20.54,26.95,10.63,15,5.22,0,41.07,0,0,0,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,19.33,0,10.63,144.96,0,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,164.53,5.8,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2386.8799999999997

76,18:45-19:00,20.54,41.07,11.91,164.29,0,17.39,20.54,11.92,22.32,53.39,20.54,26.95,10.63,10,3.78,0,41.07,0,0,0,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,19.33,0,10.63,144.96,0,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,164.53,5.8,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2361.6899999999996

77,19:00-19:15,20.54,41.07,11.91,164.29,0,17.85,20.54,11.92,15.62,53.39,20.54,26.95,10.63,5,2.29,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,19.33,0,10.63,144.96,0,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,5.8,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2348.9599999999996

78,19:15-19:30,20.54,41.07,11.91,164.29,0,17.85,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,1.13,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,19.33,0,10.63,144.96,0,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,5.8,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2342.7999999999997

79,19:30-19:45,20.54,41.07,11.91,164.29,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,0.25,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,19.33,0,10.63,144.96,0,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,5.8,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2340.99

80,19:45-20:00,20.54,41.07,11.91,164.29,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,19.33,0,10.63,144.96,0,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,5.8,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.87,96.64,164.29,7.73,19.33,0,96.64,0,2340.74

81,20:00-20:15,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,19.33,0,10.63,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.92,96.64,164.29,7.73,19.33,0,96.64,0,2362.0499999999997

82,20:15-20:30,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,19.33,0,10.63,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.92,96.64,164.29,7.73,19.33,0,96.64,0,2362.0499999999997

83,20:30-20:45,20.54,41.07,11.91,0,0,16.92,20.54,11.92,15.62,53.39,20.54,26.95,10.63,0,0,0,41.07,0,0,164.53,0,20.85,0,0,0,0,0,0,0,26.95,0,0,0,0,7.73,0,41.07,1.93,2.9,19.33,0,10.63,144.96,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.44,144.96,164.29,0,24.16,0,27.06,0,90.36,8.7,24.16,76.94,5.8,20.54,144.96,8.05,0.92,96.64,164.29,7.73,19.33,0,96.64,0,2362.0499999999997

