Column1,Block,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6475,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6187,NR/2025/32535/A/101424,NR/2025/32534/A/101423,NR/2025/33637/A/101412,NR/2025/32534/A/101422,NR/2025/32532/A/101421,NR/2025/33633/A/101410,NR/2025/32532/A/101420,NR/2025/33632/A/101408,NR/2025/34776/C,NR/2025/32535/A/101425,GNARE/NR/2024/12/20/3668,NR/2025/32599/A/101125,NR/2025/31421/A/101502,NR/2025/32556/A/101475,NR/2025/34749/C,NR/2025/32559/A/101474,NR/2025/34751/C,NR/2025/32610/A/101473,NR/2025/32004/A/101478,NR/2025/31045/A/101441,NR/2025/29992/A/101361,NR/2025/32455/A/101525,NR/2025/34263/A/101193,NR/2025/34695/C,NR/2025/32375/A/101499,NR/2025/34700/C,NR/2025/31049/A/101439,NR/2025/34724/C,NR/2025/34705/C,NR/2025/32262/A/100961,NR/2025/34723/C,NR/2025/31043/A/101442,NR/2025/31048/A/101440,NR/2025/29440/A/100980,NR/2025/34722/C,NR/2025/34725/C,NR/2025/34247/A/101435,NR/2025/32397/A/100962,NR/2025/34754/C,NR/2025/34078/A/101091,Total
56,13:45-14:00,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0.28,1.64,0.29,0.58,1.44,0.48,1.15,8.81,0.28,28.33,77,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1163.06

57,14:00-14:15,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0.26,1.64,0.29,0.58,1.44,0.48,1.15,8.81,0.26,43.33,84,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,96.21,0,24.05,96.21,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1377.4399999999998

58,14:15-14:30,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.26,1.64,0.19,0.58,1.44,0.38,1.15,8.81,0.26,43.33,84,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,96.21,0,24.05,96.21,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1377.1499999999999

59,14:30-14:45,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.11,1.64,0.19,0.19,1.44,0.29,1.15,8.81,0.08,45.5,112,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,96.21,0,24.05,96.21,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1406.51

60,14:45-15:00,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0,1.64,0.19,0,1.44,0.29,1.15,8.81,0,45.5,109,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,96.21,0,24.05,96.21,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1403.1299999999999

61,15:00-15:15,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.08,1.64,0.19,0.13,1.44,0.29,1.15,10.77,0.06,53.33,126,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,96.21,0,24.05,96.21,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1430.1899999999998

62,15:15-15:30,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.38,1.64,0.19,0.07,1.44,0.29,1.15,10.77,0.05,51.67,123,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,96.21,0,24.05,96.21,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1425.76

63,15:30-15:45,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.48,1.64,0.19,0.09,1.44,0.29,1.15,10.77,0.05,48.33,119,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,96.21,0,24.05,96.21,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1418.54

64,15:45-16:00,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.38,1.64,0.19,0.18,1.44,0.29,1.15,10.77,0.08,46.09,112,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,96.21,0,24.05,96.21,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1409.32

65,16:00-16:15,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.38,0,0.19,0.1,0,0.29,0,10.77,0.04,37.81,102,48.1,24.05,0,24.05,0,24.05,76.6,96.21,44.26,0,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,0,163.8,13.47,1386.6

66,16:15-16:30,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.08,0.38,0,0.19,0.08,0,0.29,0,10.77,0.04,34.36,91,48.1,24.05,0,24.05,0,24.05,76.6,96.21,44.26,0,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,0,163.8,13.47,1372.11

67,16:30-16:45,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.38,0,0.19,0.36,0,0.29,0,10.77,0.18,30.09,84,48.1,24.05,0,24.05,0,24.05,76.6,96.21,44.26,0,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,0,163.8,13.47,1361.28

68,16:45-17:00,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.07,0.38,0,0.19,0.36,0,0.29,0,8.81,0.15,27.06,74,48.1,24.05,0,24.05,0,24.05,76.6,96.21,44.26,0,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,0,163.8,13.47,1346.23

69,17:00-17:15,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.09,0.38,0,0.19,0.65,0,0.29,0,8.16,0.38,19.78,63,48.1,24.05,0,24.05,0,24.05,76.6,96.21,44.26,0,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,8.66,163.8,13.47,1336.5000000000002

70,17:15-17:30,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.38,0,0.18,0.43,0,0.29,0,7.88,0.18,16.72,53,48.1,24.05,0,24.05,0,24.05,76.6,96.21,44.26,0,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,8.66,163.8,13.47,1322.7400000000002

71,17:30-17:45,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.38,0,0.19,0.17,0,0.29,0,7.7,0.09,13.42,42,48.1,24.05,0,24.05,0,24.05,76.6,96.21,44.26,0,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,8.66,163.8,13.47,1307.9200000000003

72,17:45-18:00,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.1,0.38,0,0.1,0.16,0,0.29,0,7.76,0.08,10.27,32,48.1,24.05,0,24.05,0,24.05,76.6,96.21,44.26,0,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,8.66,163.8,13.47,1294.7200000000003

73,18:00-18:15,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0.08,0.38,0,0.08,0.1,0,0.29,0,8.58,0.05,7.53,21,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,8.66,163.8,13.47,1299.6600000000003

74,18:15-18:30,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0.06,0.06,0,0.06,0.09,0,0.16,0,6.23,0.04,5.15,14,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,8.66,163.8,13.47,1287.4200000000003

75,18:30-18:45,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0.03,0.05,0,0.03,0.09,0,0.09,0,4.07,0.04,2.17,7,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,8.66,163.8,13.47,1275.14

76,18:45-19:00,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0.01,0.05,0,0.03,0.09,0,0.04,0,2.61,0.04,0.67,5,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.87,0,0,153.94,8.66,163.8,13.47,1270.1100000000004

77,19:00-19:15,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0.41,1,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.91,0,0,153.94,8.66,163.8,13.47,1263.0200000000002

78,19:15-19:30,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0.15,0,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.91,0,0,153.94,8.66,163.8,13.47,1261.7600000000002

79,19:30-19:45,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0.04,0,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.91,0,0,153.94,8.66,163.8,13.47,1261.6500000000003

80,19:45-20:00,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,0,0,0,0,0.91,0,0,153.94,8.66,163.8,13.47,1261.6100000000001

81,20:00-20:15,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,13.47,1315.7300000000002

82,20:15-20:30,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,13.47,1315.7300000000002

83,20:30-20:45,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,13.47,1315.7300000000002

84,20:45-21:00,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,76.6,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,13.47,1315.7300000000002

85,21:00-21:15,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,0,1331.4900000000002

86,21:15-21:30,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,0,1331.4900000000002

87,21:30-21:45,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,0,1331.4900000000002

88,21:45-22:00,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,0,1331.4900000000002

89,22:00-22:15,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,13.47,1344.9600000000003

90,22:15-22:30,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,13.47,1344.9600000000003

91,22:30-22:45,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,12.51,1344.0000000000002

92,22:45-23:00,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.91,0,0,153.94,8.66,163.8,12.51,1344.0000000000002

93,23:00-23:15,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.87,0,0,153.94,8.66,163.8,12.51,1343.9600000000003

94,23:15-23:30,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.87,0,0,153.94,8.66,163.8,12.51,1343.9600000000003

95,23:30-23:45,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.87,0,0,153.94,8.66,163.8,12.51,1343.9600000000003

96,23:45-24:00,14.58,14.58,28.86,20.76,0,76.97,38.48,19.24,0,0,0,19.24,0,28.93,0,0,0,0,0,0,0,0,0,0,0,0,48.1,43.73,0,43.73,0,37.18,105.83,96.21,44.26,48.1,76.97,0,48.1,0,96.21,0,0,54.12,0,0,0,0.87,0,0,153.94,8.66,163.8,12.51,1343.9600000000003

