Block,Time,UNCHAHAR2,ANTA_LF,ANTA_GF,DADRI_LF,AURY_GF,KOLDAM,UNCHAHAR4,RAPPB,DADRI_CRF,PARBATI3,URI2,CHAMERA3,SEWA2,BSIUL,SINGRAULI,AURY_RF,TANAKPUR,RAPPC,TEHRI,URI,RAMPUR,SALAL,SASAN,BRBCL,KHSTPP-II,FSTPP I & II,TALA,KHSTPP-I,AURY_CRF,RIHAND2,ANTA_CRF,DADRT2,TANDA2,DADRI_RF,RIHAND1,NJPC,DULHASTI,DHAULIGNGA,UNCHAHAR3,ANTA_RF,DADRI_GF,AURY_LF,CHAMERA2,CHAMERA1,SINGRAULI_HYDRO,RIHAND3,KOTESHWR,NAPP,JHAJJAR,KISHANGANGA,UNCHAHAR1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
28,06:45-07:00,29.210210,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,56.661818,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,9.885221,65.584005,62.103359,39.401981,6.506724,60.526721,327.722850,14.469000,114.467346,10.629313,8.933161,25.119149,0.000000,95.963135,0.000000,366.442762,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,18.557071,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,37.808120,47.373781,212.460481,8.045392,15.063387,0,0,0,0,0

29,07:00-07:15,23.825620,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,56.661818,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,10.503047,65.584005,62.103359,39.401981,6.506724,71.735373,327.722850,14.469000,114.467346,8.326620,8.933161,25.119149,0.000000,95.963135,0.000000,366.444402,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,15.040333,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,30.024094,47.373781,168.433822,8.045392,12.153960,0,0,0,0,0

30,07:15-07:30,23.825620,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,32.378182,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,10.503047,65.584005,62.103359,39.401981,6.506724,71.735373,327.722850,14.469000,114.467346,8.326620,8.933161,25.119149,0.000000,95.963135,0.000000,366.444402,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,15.040333,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,30.024094,47.373781,115.869102,8.045392,12.153960,0,0,0,0,0

31,07:30-07:45,23.825620,0.000000,0.000000,0.000000,0.000000,9.850160,2.000372,0.000000,0.000000,32.378182,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,10.503047,65.584005,62.103359,39.401981,6.506724,76.218834,327.722850,14.469000,114.467346,8.326620,8.933161,25.119149,0.000000,95.963135,0.000000,365.583400,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,15.040333,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,30.024094,47.373781,115.752000,8.045392,12.009270,0,0,0,0,0

32,07:45:08:00,23.825620,0.000000,0.000000,0.000000,0.000000,9.850160,1.649466,0.000000,0.000000,32.378182,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,10.503047,65.584005,62.103359,39.401981,6.506724,76.218834,327.722850,14.469000,114.467346,8.326620,8.933161,25.119149,0.000000,95.963135,0.000000,365.583400,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,14.671566,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,30.024094,47.373781,115.752000,8.045392,12.009270,0,0,0,0,0

33,08:00-08:15,23.825620,0.000000,0.000000,0.000000,0.000000,9.850160,1.649466,0.000000,0.000000,32.378182,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,10.503047,65.584005,62.103359,45.791491,6.506724,76.218834,331.484790,14.469000,114.467346,8.326620,8.933161,25.119149,0.000000,95.963135,0.000000,365.583400,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,14.671566,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,30.024094,47.373781,115.752000,8.045392,12.009270,0,0,0,0,0

34,08:15-08:30,23.825620,0.000000,0.000000,0.000000,0.000000,9.850160,1.649466,0.000000,0.000000,22.076033,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,10.503047,65.584005,62.103359,45.791491,6.506724,76.218834,332.063550,14.469000,114.467346,8.326620,8.933161,25.119149,0.000000,95.963135,0.000000,365.583400,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,14.671566,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,30.024094,47.373781,115.752000,8.045392,12.009270,0,0,0,0,0

35,08:30-08:45,23.825620,0.000000,0.000000,0.000000,0.000000,9.850160,1.649466,0.000000,0.000000,22.076033,36.993112,33.598227,0.000000,6.289964,105.666432,0.000000,10.503047,65.584005,62.103359,45.791491,6.506724,76.218834,332.063550,14.469000,114.467346,8.326620,8.933161,25.119149,0.000000,95.963135,0.000000,365.583400,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,14.671566,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,30.024094,47.373781,115.752000,8.045392,12.009270,0,0,0,0,0

36,08:45:09:00,23.825620,0.000000,0.000000,0.000000,0.000000,9.850160,1.649466,0.000000,0.000000,18.396695,36.993112,33.598227,0.000000,6.289964,99.576430,0.000000,10.503047,65.584005,62.103359,45.791491,6.506724,76.218834,332.063550,14.469000,114.467346,8.326620,8.933161,25.119149,0.000000,95.963135,0.000000,365.583400,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,14.671566,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,30.024094,47.373781,115.752000,8.045392,12.009270,0,0,0,0,0

