Column1,Block,NR/2025/29996/C,NR/2025/26777/A/83601,NR/2025/26860/A/83945,NR/2025/29936/C,NR/2025/30003/C,NR/2025/27728/A/84002,NR/2025/27187/A/84007,NR/2025/27726/A/84003,NR/2025/27185/A/84008,NR/2025/27727/A/84001,NR/2025/27506/A/83544,NR/2025/26861/A/84163,NR/2025/29928/C,NR/2025/27167/A/83787,NR/2025/27500/A/83546,NR/2025/27725/A/84004,NR/2025/28774/A/83539,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/83709,GNA/NR/2025/06/01/7782,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/2025/30028/C,NR/2025/30054/C,NR/2025/27176/A/83751,NR/2025/30007/C,NR/2025/30054/C/Alternate/1,NR/2025/30008/C,NR/2025/30055/C,NR/2025/26562/A/84158,NR/2025/27281/A/84067,NR/2025/30009/C,NR/2025/26445/A/84054,NR/2025/27157/A/83628,NR/2025/26952/A/83527,NR/2025/30032/C,NR/2025/27782/A/84000,NR/2025/27100/A/83629,NR/2025/30033/C,NR/2025/30044/C,NR/2025/30057/C,NR/2025/29451/A/83707,NR/2025/26889/A/83994,NR/2025/30059/C,NR/2025/26785/A/83547,NR/2025/27088/A/84047,NR/2025/30047/C,NR/2025/27499/A/83993,NR/2025/26085/A/83704,NR/2025/26566/A/84160,NR/2025/30051/C,NR/2025/30062/C,NR/2025/26572/A/84162,NR/2025/27242/A/83727,NR/2025/26571/A/84161,NR/2025/27168/A/83788,NR/2025/29816/A/83671,NR/2025/30061/C,NR/2025/28719/A/83599,NR/2025/26565/A/84159,NR/2025/30053/C,NR/2025/26975/A/84009,Total
35,08:30-08:45,0,164.29,90.36,0,0,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,5.78,40.21,81,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.92,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.97,0,0,0,0,41.07,0,20.54,1.93,0,10.63,0,0,5.8,1941.6100000000004

36,08:45-09:00,0,164.29,90.36,0,0,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,5.8,46.28,95,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.92,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.97,0,0,0,0,41.07,0,20.54,1.93,0,10.63,0,0,5.8,1961.7000000000005

37,09:00-09:15,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,7.44,51.44,119,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.74,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,10.63,0,34.79,0,2013.9299999999998

38,09:15-09:30,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.09,55.65,130,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.74,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0.97,7.73,11.6,0,34.79,0,2029.7999999999997

39,09:30-09:45,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.7,58.94,140,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.74,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2044.6599999999994

40,09:45-10:00,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.7,61.77,151,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.74,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2058.49

41,10:00-10:15,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,9.39,67.61,161,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.55,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2074.8299999999995

42,10:15-10:30,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,9.15,70.48,168,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.55,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2084.4599999999996

43,10:30-10:45,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,73.3,175,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.55,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2093.7199999999993

44,10:45-11:00,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,76.1,179,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.55,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2100.5199999999995

45,11:00-11:15,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,83.32,189,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.37,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2117.5599999999995

46,11:15-11:30,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,85.76,189,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.37,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2119.9999999999995

47,11:30-11:45,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,87.58,189,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.37,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2121.8199999999997

48,11:45-12:00,0,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,89.04,189,11.91,26.95,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.37,41.07,20.54,11.92,26.95,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2123.2799999999997

49,12:00-12:15,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,87.77,182,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.27,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2250.2499999999995

50,12:15-12:30,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,88.25,182,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.27,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2250.7299999999996

51,12:30-12:45,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,82.34,189,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.27,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2251.8199999999997

52,12:45-13:00,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,82.12,189,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.27,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2251.5999999999995

53,13:00-13:15,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,82.55,189,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.09,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,1.93,7.73,11.6,0,34.79,0,2251.8499999999995

54,13:15-13:30,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,81.89,168,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.09,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0.97,7.73,12.56,0,34.79,0,2230.1899999999996

55,13:30-13:45,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,73.18,168,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.09,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0.97,7.73,12.56,0,34.79,0,2221.4799999999996

56,13:45-14:00,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,72.07,168,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.09,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,0,28.03,15.83,0,0,96.64,0,0,19.33,0,0,76.94,90.36,164.29,0,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0.97,7.73,12.56,0,34.79,0,2220.37

57,14:00-14:15,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,72.18,154,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.09,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,144.96,28.03,15.83,0,144.96,96.64,0,0,19.33,0,0,76.94,90.36,164.29,96.64,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0.97,7.73,12.56,0,34.79,0,2593.0399999999995

58,14:15-14:30,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.59,71,147,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.09,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,144.96,28.03,15.83,0,144.96,96.64,0,0,19.33,0,0,76.94,90.36,164.29,96.64,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0.97,7.73,12.56,0,34.79,0,2584.859999999999

59,14:30-14:45,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.77,68.03,133,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.09,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,144.96,28.03,15.83,0,144.96,96.64,0,0,19.33,0,0,76.94,90.36,164.29,96.64,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0.97,7.73,12.56,0,34.79,0,2568.0699999999993

60,14:45-15:00,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.84,64.59,123,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.09,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,144.96,28.03,15.83,0,144.96,96.64,0,0,19.33,0,0,76.94,90.36,164.29,96.64,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0.97,7.73,12.56,0,34.79,0,2554.6999999999994

61,15:00-15:15,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.7,61.99,116,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.27,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,144.96,28.03,15.83,0,144.96,96.64,0,0,19.33,0,0,76.94,90.36,164.29,96.64,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0,7.73,13.53,0,34.79,0,2545.14

62,15:15-15:30,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.7,57.44,105,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.27,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,144.96,28.03,15.83,0,144.96,96.64,0,0,19.33,0,0,76.94,90.36,164.29,96.64,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0,7.73,13.53,0,34.79,0,2529.59

63,15:30-15:45,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.7,52.78,98,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.27,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,144.96,28.03,15.83,0,144.96,96.64,0,0,19.33,0,0,76.94,90.36,164.29,96.64,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0,7.73,13.53,0,34.79,0,2517.93

64,15:45-16:00,135.3,0,0,53.15,0,0,0,0,0,0,1.93,0,24.88,20.54,0,0,8.7,47.75,88,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.27,41.07,20.54,11.92,26.97,5.8,164.53,0,129.13,0,144.96,28.03,15.83,0,144.96,96.64,0,0,19.33,0,0,76.94,90.36,164.29,96.64,0,34.79,0,0,164.29,0,0.97,0,11.6,34.79,0,41.07,0,20.54,0,7.73,13.53,0,34.79,0,2502.9

65,16:00-16:15,0,164.29,90.36,0,1.93,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,1.33,42.06,77,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.47,41.07,20.54,11.92,26.97,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,135.3,0,7.73,25.2,0,0,0,96.64,0,0,53.15,164.29,0,0,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2755.0900000000006

66,16:15-16:30,0,164.29,90.36,0,1.93,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,1.69,38.07,67,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.47,41.07,20.54,11.92,26.97,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,135.3,0,7.73,25.2,0,0,0,96.64,0,0,53.15,164.29,0,0,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2741.4600000000005

67,16:30-16:45,0,164.29,90.36,0,1.93,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0.71,29.36,56,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.47,41.07,20.54,11.92,26.97,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,135.3,0,7.73,25.2,0,0,0,96.64,0,0,53.15,164.29,0,0,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2720.770000000001

68,16:45-17:00,0,164.29,90.36,0,1.93,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,1.28,26.09,46,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.47,41.07,20.54,11.92,26.97,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,135.3,0,7.73,25.2,0,0,0,96.64,0,0,53.15,164.29,0,0,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2708.070000000001

69,17:00-17:15,0,164.29,90.36,0,1.93,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,23.34,35,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.92,41.07,20.54,11.92,26.97,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,135.3,0,7.73,25.2,0,0,0,96.64,0,0,0,164.29,0,0,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2640.3400000000006

70,17:15-17:30,0,164.29,90.36,0,1.93,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,20.65,32,11.91,26.97,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.92,41.07,20.54,11.92,26.97,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,135.3,0,7.73,25.2,0,0,0,96.64,0,0,0,164.29,0,0,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2634.650000000001

71,17:30-17:45,0,164.29,90.36,0,1.93,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,22.87,21,11.91,26.4,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.92,41.07,20.54,11.92,26.4,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,135.3,0,7.73,25.2,0,0,0,96.64,0,0,0,164.29,0,0,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2624.730000000001

72,17:45-18:00,0,164.29,90.36,0,1.93,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,19,14,11.91,26.4,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.92,41.07,20.54,11.92,26.4,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,135.3,0,7.73,25.2,0,0,0,96.64,0,0,0,164.29,0,0,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2613.860000000001

73,18:00-18:15,0,164.29,90.36,0,1.93,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,15.81,8,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,164.29,17.39,41.07,20.54,11.92,23.49,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2449.380000000001

74,18:15-18:30,0,164.29,90.36,0,1.93,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,11.21,6,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,164.29,17.39,41.07,20.54,11.92,23.49,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2442.7800000000007

75,18:30-18:45,0,164.29,90.36,0,1.93,37.34,19.33,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,0.45,3,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,164.29,12.3,41.07,20.54,11.92,23.49,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2443.2600000000007

76,18:45-19:00,0,164.29,90.36,0,1.93,37.34,19.33,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,0.45,1,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,164.29,12.3,41.07,20.54,11.92,17.42,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2435.1900000000005

77,19:00-19:15,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,0.45,1,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,164.29,12.3,41.07,20.54,11.92,29,0,0,76.94,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2444.8400000000006

78,19:15-19:30,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,0.45,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,164.29,12.3,41.07,20.54,11.92,29,0,0,76.94,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2443.8400000000006

79,19:30-19:45,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,164.29,12.3,41.07,20.54,11.92,29,0,0,76.94,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2443.390000000001

80,19:45-20:00,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,164.29,12.3,41.07,20.54,11.92,29,0,0,76.94,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.87,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,5.8,2443.390000000001

81,20:00-20:15,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,12.3,41.07,20.54,11.92,29,0,0,76.94,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.92,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,27.06,2464.7000000000007

82,20:15-20:30,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,12.3,41.07,20.54,11.92,29,0,0,76.94,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.92,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,27.06,2464.7000000000007

83,20:30-20:45,0,164.29,90.36,0,0,37.34,19.33,43.92,19.33,43.92,1.93,164.29,0,20.54,7.73,14.64,0,0,0,11.91,29,20.54,20.85,20.54,41.07,41.07,0,29.06,0,53.39,0,19.24,41.07,20.54,11.92,29,0,0,76.94,0,164.53,0,28.03,144.96,24.88,0,96.64,217.44,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.92,144.96,0,0,144.96,41.07,0,20.54,0,0,13.53,0,0,27.06,2471.640000000001

