Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,GNA/WR/2025/01/01/9606,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1676,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/9969,NR/01102023/19072037/LT-05,GNA/SR/2025/02/01/7432,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/02/01/2143,GNA/WR/2024/11/01/4200,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNA/WR/2025/01/01/8625,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36
77,19:00-19:15,0,13.17,0,0,32.34,14,0,0,13.17,0,39.49,32.33,0,0,20.01,200,271.47,8.64,0,1.3,27.76,26.12,100.02,0,75,1.29,23.04,84.73,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,86.6,0.62,259.8,0,0

78,19:15-19:30,0,13.67,0,0,33.34,15,0,0,13.67,0,40.99,33.33,0,0,19.41,200,271.47,8.64,0,1.3,27.76,26.12,100.02,0,75,1.29,23.04,65.9,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,86.6,0.62,259.8,0,0

79,19:30-19:45,0,14.17,0,0,35,12.67,0,0,14.17,0,42.49,35,0,0,16.41,200,271.47,8.64,0,1.3,27.25,26.12,100.02,0,75,1.29,23.04,65.9,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,86.6,0.62,259.8,0,0

80,19:45-20:00,0,14.83,0,0,36.34,13,0,0,14.83,0,44.51,36.33,0,0,16.41,200,271.47,8.64,0,1.3,27.25,26.12,100.02,0,75,1.29,23.04,65.9,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,74.44,0.62,229.38,0,0

81,20:00-20:15,0,15.5,0,0,38.34,13.67,0,0,15.5,0,46.5,38.33,0,0,16.41,150,271.47,8.64,0,1.3,27.25,26.12,100.02,0,75,1.29,23.04,65.9,50,0,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,74.44,0.62,229.38,0,0

82,20:15-20:30,0,16.33,0,0,40.34,14.33,0,0,16.33,0,49.01,40.33,0,0,16.41,150,271.47,8.64,0,1.3,27.25,26.12,100.02,0,75,1.29,23.04,65.9,50,0,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,74.44,0.62,229.38,0,0

83,20:30-20:45,0,17.17,0,0,51.66,15,0,0,17.17,0,51.49,51.67,0,0,16.21,150,271.47,8.64,0,1.3,27.25,26.12,100.02,0,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,64.06,0.62,229.38,0,0

84,20:45-21:00,0,18.5,0,0,53.34,15.33,0,0,18.5,0,55.5,53.33,0,0,16.21,150,271.47,8.64,0,1.3,27.25,26.12,100.02,0,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,64.06,0.62,229.38,0,0

85,21:00-21:15,0,20.83,0,0,54.66,19,0,0,20.83,0,62.51,54.67,0,0,16.01,150,230.42,8.64,0,1.25,26.75,26.12,100.02,0,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,64.06,0.62,196.08,0,0

86,21:15-21:30,0,21.17,0,0,55.66,19.67,0,0,21.17,0,63.49,55.67,0,0,16.21,150,230.42,8.64,0,1.25,26.75,26.12,100.02,0,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,64.06,0.62,196.08,0,0

87,21:30-21:45,0,21.67,0,0,56.34,20.33,0,0,21.67,0,64.99,56.33,0,0,15.81,150,230.42,8.64,0,1.25,26.24,26.12,100.02,0,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,64.06,0.62,196.08,0,0

88,21:45-22:00,0,22,0,0,58,20.67,0,0,22,0,66,58,0,0,15.21,150,230.42,8.64,0,1.25,26.24,26.12,100.02,0,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,64.06,0.62,196.08,0,0

89,22:00-22:15,0,22.5,0,0,56.34,21.33,0,0,22.5,0,67.5,56.33,0,0,12.21,150,192.02,8.64,23.78,1.25,26.24,26.99,100.02,7.93,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,26.99,74.44,0,229.38,0,0

90,22:15-22:30,0,23,0,0,56.66,21.67,0,0,23,0,69,56.67,0,0,12.01,150,192.02,8.64,23.78,1.25,26.24,26.99,100.02,7.93,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,26.99,74.44,0.62,229.38,0,0

91,22:30-22:45,0,23.83,0,0,56.66,19.33,0,0,23.83,0,71.51,56.67,0,0,11.21,150,230.42,8.64,23.78,1.25,26.24,26.99,100.02,7.93,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,26.99,74.44,0.62,229.38,0,0

92,22:45-23:00,0,24,0,0,56.66,19.33,0,0,24,0,72,56.67,0,0,10.8,150,230.42,8.64,23.78,1.25,26.24,26.99,100.02,7.93,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,26.99,74.44,0.62,229.38,0,0

93,23:00-23:15,0,24.17,0,0,56.66,19.33,0,0,24.17,0,72.49,56.67,0,0,10.4,150,192.02,8.64,23.78,1.25,25.74,26.99,100.02,7.93,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,181.37,0,0

94,23:15-23:30,0,24.33,0,0,56.66,19.33,0,0,24.33,0,73.01,56.67,0,0,9.6,150,192.02,8.64,23.78,1.25,25.74,26.99,100.02,7.93,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,169.63,0,0

95,23:30-23:45,0,24.33,0,0,61.66,21.67,0,0,24.33,0,73.01,61.67,0,0,9,150,192.02,8.64,23.78,1.25,25.74,26.99,100.02,7.93,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,169.63,0,0

96,23:45-24:00,0,24.5,0,0,61.66,21.67,0,0,24.5,0,73.5,61.67,0,0,8.4,150,192.02,8.64,23.78,1.25,25.74,26.99,100.02,7.93,75,1.29,23.04,70.04,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,169.63,0,0

