Column1,Time,GNA/SR/2025/02/01/7432,GNA/WR/2025/01/01/9606,GNA/SR/2025/02/01/6460,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/WR/2024/11/01/4200,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/02/01/4863,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/8625,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06)
82,20:15-20:30,50,150,75,261.07,115.03,50,271.89,1.29,32,0,86.74,0,0,34.62,34.62,8.65,34.62,100.18,8.65,25.73,0.96,0.7,25.35,1.3,0,14,6.67,6.83,10.6,0,14,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

83,20:30-20:45,50,150,75,261.07,106.55,50,271.89,1.29,26.71,0,86.74,0,0,34.62,34.62,8.65,34.62,100.18,8.65,25.23,0.96,0.7,26.71,1.3,0,15,6.67,6.83,10.4,0,15,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

84,20:45-21:00,50,150,75,261.07,98.05,50,271.89,1.29,26.71,0,86.74,0,0,34.62,34.62,8.65,34.62,100.18,8.65,25.23,0.96,0.7,26.71,1.3,0,15.34,6.67,6.83,9.8,0,15.33,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

85,21:00-21:15,50,150,75,261.07,89.57,50,271.89,1.29,26.99,0,60.49,0,0,34.62,34.62,8.65,34.62,100.18,8.65,25.23,0.96,0.7,26.99,1.3,0,20,6.67,6.83,9.2,0,20,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

86,21:15-21:30,50,150,75,261.07,81.08,50,271.89,1.29,26.99,0,60.49,0,0,34.62,34.62,8.65,34.62,100.18,8.65,25.23,0.96,0.7,26.99,1.3,0,21,6.67,6.83,9.2,0,21,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

87,21:30-21:45,50,150,75,261.07,72.6,50,271.89,1.29,26.99,0,72.68,0,0,34.62,34.62,8.65,34.62,100.18,8.65,25.23,0.96,0,26.99,1.3,0,31.66,10,10.83,9.4,0,31.67,0,0,0,0,0,0,0,0,0,0,0,10.83,32.51,0

88,21:45-22:00,50,150,75,245.77,70.15,50,271.89,1.29,26.99,0,62.19,0,0,34.62,34.62,8.65,34.62,100.18,8.65,25.23,0.96,0,26.99,1.3,0,28.34,9.67,10.67,9.4,0,28.33,0,0,0,0,0,0,0,0,0,0,0,10.67,31.99,0

89,22:00-22:15,50,150,75,226.53,70.15,50,271.89,1.29,26.99,0,59.46,0,0,30.77,30.77,8.65,30.77,100.18,8.65,25.23,0.92,0.7,26.99,1.3,0,41.66,11.67,13.67,9.4,0,41.67,0,0,0,0,0,0,0,0,0,0,0,13.67,40.99,0

90,22:15-22:30,50,150,75,191.97,70.15,50,271.89,1.29,26.99,0,59.46,0,0,30.77,30.77,8.65,30.77,86.54,8.65,24.72,0.92,0.7,26.99,1.3,0,40,10.67,13.17,9.6,0,40,0,0,0,0,0,0,0,0,0,0,0,13.17,39.49,0

91,22:30-22:45,50,150,75,191.97,70.15,50,271.89,1.29,26.99,0,59.46,0,0,30.77,30.77,8.65,30.77,69.24,8.65,24.72,0.92,0.7,26.99,1.3,0,36.66,10,12.5,12.21,0,36.67,0,0,0,0,0,0,0,0,0,0,0,12.5,37.5,0

92,22:45-23:00,50,150,75,191.97,70.15,50,271.89,1.29,26.99,0,59.46,0,0,30.77,30.77,8.65,30.77,67.31,8.65,24.72,0.92,0.7,26.99,1.3,0,33.34,9.67,12,11.61,0,33.33,0,0,0,0,0,0,0,0,0,0,0,12,36,0

93,23:00-23:15,50,150,75,191.97,70.15,50,271.89,1.29,26.99,0,59.46,0,0,26.92,26.92,8.65,26.92,60.58,8.65,24.72,0.92,0.7,26.99,1.3,0,43.34,15.33,16.33,11,0,43.33,0,0,0,0,0,0,0,0,0,0,0,16.33,49.01,0

94,23:15-23:30,50,150,75,191.97,70.15,50,271.89,1.29,26.99,0,59.46,0,0,26.92,26.92,8.65,26.92,53.85,8.65,24.72,0.92,0.7,26.99,1.3,0,42.66,15,15.83,10.6,0,42.67,0,0,0,0,0,0,0,0,0,0,0,15.83,47.51,0

95,23:30-23:45,50,150,75,191.97,70.15,50,271.89,1.29,26.99,0,59.46,0,0,26.92,26.92,8.65,26.92,81.74,8.65,24.72,0.92,0,26.99,1.3,0,41.66,14,15.33,10.4,0,41.67,0,0,0,0,0,0,0,0,0,0,0,15.33,46.01,0

96,23:45-24:00,50,150,75,191.97,70.15,50,271.89,1.29,26.99,0,59.46,0,0,26.92,26.92,8.65,26.92,60.58,8.65,24.72,0.92,0,26.99,1.3,0,39.34,13.33,15,10.2,0,39.33,0,0,0,0,0,0,0,0,0,0,0,15,45,0

