Time,Block,NR/2024/19978/A/23687,NR/2024/20090/A/23256,NR/2024/20141/A/23338,NR/2024/20050/A/23661,NR/2024/20540/A/23108,NR/2024/20142/A/23337,NR/2024/19432/A/23658,NR/2024/19791/A/23688,NR/2024/20554/A/23193,NR/2024/20552/A/23237,NR/2024/19355/A/23611,NR/2024/20597/A/23656,NR/2024/20041/A/23666,NR/2024/19699/A/23655,NR/2024/19640/A/23773,NR/2024/19918/A/23684,NR/2024/21043/C,NR/2024/19760/A/23307,NR/2024/19642/A/23774,NR/2024/20599/A/23303,NR/2024/21018/C,NR/2024/20130/A/23351,NR/2024/20513/A/23341,NR/2024/20777/A/23301,NR/2024/20537/A/23609,NR/2024/19475/A/23603,NR/2024/20048/A/23663,NR/2024/19683/A/23251,NR/2024/20557/A/23649,NR/2024/20558/A/23646,NR/2024/20524/A/23617,NR/2024/20560/A/23645,NR/2024/20037/A/23305,NR/2024/20212/A/23335,NR/2024/19588/A/23317,NR/2024/21007/C,NR/2024/20572/A/23644,NR/2024/19757/A/23653,NR/2024/20211/A/23332,NR/2024/20515/A/23340,NR/2024/19988/A/23306,NR/2024/20553/A/23236,NR/2024/19919/A/23682,NR/2024/20516/A/23339,NR/2024/19779/A/23223,NR/2024/19966/A/23325,NR/2024/20109/A/23610,NR/2024/19637/A/23349,NR/2024/20598/A/23302,NR/2024/21006/C,NR/2024/20144/A/23336,Total
40,09:45-10:00,84.100000,1.930000,0.350000,0.000000,9.650000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,0.000000,4.1,0.880000,1919.95

41,10:00-10:15,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,6.76,0.880000,2063.47

42,10:15-10:30,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,6.27,0.880000,2062.98

43,10:30-10:45,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,4.33,0.880000,2061.04

44,10:45-11:00,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,2.37,0.880000,2059.08

45,11:00-11:15,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,6.7,0.880000,2063.41

46,11:15-11:30,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,4.08,0.880000,2060.79

47,11:30-11:45,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,4.82,0.880000,2061.53

48,11:45-12:00,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,7.56,0.880000,2064.27

49,12:00-12:15,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,6.4,0.880000,2076.62

50,12:15-12:30,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,9.43,0.880000,2079.65

51,12:30-12:45,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,8.94,0.880000,2079.16

52,12:45-13:00,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,9.17,0.880000,2079.39

53,13:00-13:15,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,8.75,0.880000,2078.97

54,13:15-13:30,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,7.4,0.880000,2077.62

55,13:30-13:45,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,4.85,0.880000,2075.07

56,13:45-14:00,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,1.930000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,7.95,0.880000,2078.17

57,14:00-14:15,84.100000,1.930000,0.350000,0.000000,13.510000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,0.000000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,9.31,0.880000,1885.26

58,14:15-14:30,84.100000,1.930000,0.350000,0.000000,13.510000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,0.000000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,9.04,0.880000,1884.99

59,14:30-14:45,84.100000,1.930000,0.350000,0.000000,13.510000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,0.000000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,8.97,0.880000,1884.92

60,14:45-15:00,84.100000,1.930000,0.350000,0.000000,13.510000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,0.000000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,8.26,0.880000,1884.21

61,15:00-15:15,84.100000,1.930000,0.350000,0.000000,13.510000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,0.000000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,6.1,0.880000,1882.05

62,15:15-15:30,84.100000,1.930000,0.350000,0.000000,13.510000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,0.000000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,6.22,0.880000,1882.17

63,15:30-15:45,84.100000,1.930000,0.350000,0.000000,13.510000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,0.000000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,3.99,0.880000,1879.94

64,15:45-16:00,84.100000,1.930000,0.350000,0.000000,13.510000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,48.240000,48.240000,90.680000,13.510000,0.000000,48.240000,11.720000,24.120000,0.000000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,24.120000,4.28,0.880000,1880.23

65,16:00-16:15,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,0.000000,48.240000,90.680000,13.510000,0.000000,0.000000,11.720000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.820000,0.000000,183.290000,0.000000,24.120000,2.01,0.880000,1718.62

66,16:15-16:30,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,0.000000,48.240000,90.680000,13.510000,0.000000,0.000000,11.720000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.820000,0.000000,183.290000,0.000000,24.120000,1.19,0.880000,1717.8

67,16:30-16:45,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,0.000000,48.240000,90.680000,13.510000,0.000000,0.000000,11.720000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.820000,0.000000,183.290000,0.000000,24.120000,0.79,0.880000,1717.4

68,16:45-17:00,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,24.120000,0.000000,48.240000,90.680000,13.510000,0.000000,0.000000,11.720000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.820000,0.000000,183.290000,0.000000,24.120000,0.37,0.880000,1716.98

69,17:00-17:15,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,0.000000,0.000000,11.720000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.770000,0.000000,183.290000,0.000000,0.000000,0.4,0.880000,1668.72

70,17:15-17:30,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,0.000000,0.000000,11.720000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.770000,0.000000,183.290000,0.000000,0.000000,0.41,0.880000,1668.73

71,17:30-17:45,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,0.000000,0.000000,11.720000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.770000,0.000000,183.290000,0.000000,0.000000,0.44,0.880000,1668.76

72,17:45-18:00,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,0.000000,0.000000,11.720000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.770000,0.000000,183.290000,0.000000,0.000000,0.36,0.880000,1668.68

73,18:00-18:15,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,7.950000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.770000,0.000000,183.290000,0.000000,0.000000,0.3,0.880000,1750.36

74,18:15-18:30,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,7.950000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.770000,0.000000,183.290000,0.000000,0.000000,0.13,0.880000,1750.19

75,18:30-18:45,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,7.950000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,48.240000,0.970000,0.770000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1676.76

76,18:45-19:00,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,24.120000,0.960000,0.480000,0.680000,67.530000,57.880000,192.940000,0.000000,1.930000,7.950000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,48.240000,0.970000,0.770000,0.000000,183.290000,0.000000,0.000000,0.12,0.880000,1676.88

77,19:00-19:15,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,24.120000,0.960000,0.480000,0.680000,67.530000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1676.77

78,19:15-19:30,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,24.120000,0.960000,0.480000,0.680000,67.530000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1676.77

79,19:30-19:45,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,24.120000,0.960000,0.480000,0.680000,67.530000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1676.77

80,19:45-20:00,84.100000,1.930000,0.350000,0.000000,12.540000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,24.120000,0.960000,0.480000,0.680000,67.530000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1676.77

81,20:00-20:15,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,48.240000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1729.84

82,20:15-20:30,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,48.240000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1729.84

83,20:30-20:45,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,48.240000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1729.84

84,20:45-21:00,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,48.240000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1729.84

85,21:00-21:15,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,0.000000,0.000000,0.480000,0.680000,0.000000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,48.240000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1727.91

86,21:15-21:30,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,0.000000,0.000000,0.480000,0.680000,0.000000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,48.240000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1727.91

87,21:30-21:45,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,0.000000,0.000000,0.480000,0.680000,0.000000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,48.240000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1727.91

88,21:45-22:00,84.100000,1.930000,0.350000,0.000000,11.580000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,96.470000,0.000000,0.000000,0.000000,0.000000,0.480000,0.680000,0.000000,0.000000,192.940000,0.000000,1.930000,7.950000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,48.240000,48.240000,0.970000,0.770000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1727.91

