Column1,Block,NR/2024/22898/A/35775,NR/2024/22899/A/35774,NR/2024/23003/C,NR/2024/22995/C,NR/2024/22839/A/35990,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,NR/30092023/31122025/SH-07,NR/2024/22872/A/35762,NR/2024/22874/A/35995,NR/2024/21658/A/35726,NR/2024/22993/C,NR/2024/22888/A/36002,NR/2024/22860/A/36008,NR/2024/22835/A/36035,NR/2024/22996/C,NR/2024/22820/A/35720,NR/2024/22997/C,NR/2024/22832/A/35993,NR/2024/22833/A/35992,NR/2024/22754/A/35963,NR/2024/22848/A/36010,NR/2024/22734/A/35979,NR/2024/22837/A/35991,NR/2024/22816/A/35735,NR/2024/22802/A/35994,NR/2024/22753/A/35962,Total
75,18:30-18:45,0,0,0,0.05,12.47,32,96.79,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,25.9614,11.61,48.4,0.82,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1403.9314000000002

76,18:45-19:00,0,0,0,0,12.47,32,96.79,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,25.9614,11.61,48.4,0.82,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1403.8814000000004

77,19:00-19:15,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,14.5568,11.61,48.4,0.82,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1380.0068000000003

78,19:15-19:30,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,14.5568,11.61,48.4,0.82,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1380.0068000000003

79,19:30-19:45,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,0,11.61,48.4,0.82,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1365.45

80,19:45-20:00,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,0,11.61,48.4,0.82,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1365.45

81,20:00-20:15,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,0,11.61,48.4,0.77,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1365.4000000000003

82,20:15-20:30,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,0,11.61,48.4,0.77,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1365.4000000000003

83,20:30-20:45,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,0,11.61,48.4,0.77,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1365.4000000000003

84,20:45-21:00,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,0,11.61,48.4,0.77,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1365.4000000000003

85,21:00-21:15,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,0,11.61,48.4,0.77,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1360.7700000000002

86,21:15-21:30,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,0,11.61,48.4,0.77,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1360.7700000000002

87,21:30-21:45,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,0,11.61,48.4,0.77,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1360.7700000000002

88,21:45-22:00,0,0,0,0,12.47,32,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,0,11.61,48.4,0.77,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1360.7700000000002

89,22:00-22:15,0,0,0,0,12.47,25.28,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,25.28,10.65,48.4,0.77,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1617.9300000000005

90,22:15-22:30,0,0,0,0,12.47,25.28,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,25.28,10.65,48.4,0.77,241.98,43.56,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1617.9300000000005

91,22:30-22:45,0,0,0,0,12.47,24.0835,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,24.0835,9.68,48.4,0.77,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1638.7570000000003

92,22:45-23:00,0,0,0,0,12.47,24.0835,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,24.0835,9.68,48.4,0.77,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1638.7570000000003

93,23:00-23:15,0,0,0,0,12.47,24.0835,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,24.0835,9.68,48.4,0.77,241.98,67.75,13.55,94.27,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1642.0470000000003

94,23:15-23:30,0,0,0,0,12.47,24.0835,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,24.0835,9.68,48.4,0.77,241.98,67.75,13.55,94.27,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1642.0470000000003

95,23:30-23:45,0,0,0,0,12.47,24.0835,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,24.0835,9.68,48.4,0.77,241.98,67.75,13.55,94.27,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1642.0470000000003

96,23:45-24:00,0,0,0,0,12.47,24.0835,96.79,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,24.0835,9.68,48.4,0.77,241.98,67.75,13.55,94.27,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1642.0470000000003

