Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/28864/C,NR/2025/28865/C,NR/2025/28866/C,NR/2025/28868/C,NR/2025/27356/A/80176,NR/2025/28932/C,NR/2025/28922/C,NR/2025/28787/C,NR/2025/28933/C,NR/2025/28902/C,NR/2025/28848/C,NR/2025/28929/C,NR/2025/27622/A/80090,NR/2025/28931/C,NR/2025/28778/C,NR/2025/28928/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/15/6656,NR/2025/26563/A/80696,NR/2025/27242/A/80295,NR/2025/26952/A/80144,NR/2025/27728/A/80561,NR/2025/26785/A/80600,NR/2025/28953/C,NR/2025/27499/A/80555,NR/2025/28913/C,NR/2025/28139/A/80170,NR/2025/28141/A/80174,NR/2025/26975/A/80577,NR/2025/28914/C,NR/2025/28965/C,NR/2025/28719/A/80476,NR/2025/27088/A/80593,NR/2025/27782/A/80559,NR/2025/27726/A/80562,NR/2025/28916/C,GNA/NR/2025/06/01/7786,NR/2025/26085/A/80115,NR/2025/27168/A/80569,NR/2025/26777/A/80186,NR/2025/26445/A/80599,NR/2025/26889/A/80556,NR/2025/26860/A/80494,NR/2025/28140/A/80172,NR/2025/27162/A/80576,NR/2025/27167/A/80568,NR/2025/27727/A/80560,NR/2025/27281/A/80644,NR/2025/27725/A/80563,NR/2025/26569/A/80694,NR/2025/28911/C,NR/2025/27157/A/80188,NR/2025/26561/A/80697,NR/2025/27462/A/80091,NR/2025/28912/C,NR/2025/28917/C,NR/2025/26564/A/80695,NR/2025/26861/A/80553,NR/2025/26570/A/80693,NR/2025/28138/A/80168,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/15/8348,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7663,Total
37,09:00-09:15,17.09,1.93,106.29,5.8,55.99,56,54.29,192.64,53.15,0,96.63,0,0,2.6,100.13,24.88,28.99,13.23,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,1867.6400000000003

38,09:15-09:30,20.32,1.93,106.29,5.8,55.99,63,54.29,192.64,53.15,0,96.63,0,0,2.74,100.13,24.88,28.99,13.23,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,1878.0100000000002

39,09:30-09:45,21.63,1.93,106.29,5.8,55.99,63,54.29,192.64,53.15,0,96.63,0,0,2.77,100.13,24.88,28.99,13.23,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,1879.3500000000004

40,09:45-10:00,22.28,1.93,106.29,5.8,55.99,70,54.29,192.64,53.15,0,96.63,0,0,2.6,100.13,24.88,28.99,13.23,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,1886.8300000000004

41,10:00-10:15,23.69,1.93,106.29,5.8,55.99,91,54.29,192.64,53.15,0,96.63,0,0,2.88,100.13,24.88,28.99,13.04,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,1909.3300000000004

42,10:15-10:30,25.1,1.93,106.29,5.8,55.99,98,54.29,192.64,53.15,0,96.63,0,0,3.02,100.13,24.88,28.99,13.04,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,1917.88

43,10:30-10:45,46.09,1.93,106.29,5.8,55.99,112,54.29,192.64,53.15,0,96.63,0,0,4.05,100.13,24.88,28.99,13.04,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,1953.9

44,10:45-11:00,48.55,1.93,106.29,5.8,55.99,119,54.29,192.64,53.15,0,96.63,0,0,4.38,100.13,24.88,28.99,13.04,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,1963.69

45,11:00-11:15,51.13,1.93,106.29,5.8,55.99,147,54.29,192.64,53.15,0,96.63,0,0,4.77,100.13,24.88,28.99,12.95,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,1994.5700000000002

46,11:15-11:30,51.85,1.93,106.29,5.8,55.99,154,54.29,192.64,53.15,0,96.63,0,0,5.2,100.13,24.88,28.99,12.95,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,2002.7200000000003

47,11:30-11:45,51.23,1.93,106.29,5.8,55.99,154,54.29,192.64,53.15,0,96.63,0,0,7.29,100.13,24.88,28.99,12.95,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,2004.19

48,11:45-12:00,50.21,1.93,106.29,5.8,55.99,154,54.29,192.64,53.15,0,96.63,0,0,7.26,100.13,24.88,28.99,12.95,17.39,24.16,48.32,21.34,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.34,62.81,24.16,0,193.26,11.9,48.32,2003.1400000000003

49,12:00-12:15,56.37,1.93,106.29,5.8,55.99,126,54.29,192.64,53.15,0,96.63,135.28,0,7.3,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.28,62.81,24.16,0,193.26,11.9,48.32,2116.3100000000004

50,12:15-12:30,56.67,1.93,106.29,5.8,55.99,126,54.29,192.64,53.15,0,96.63,135.28,0,7.33,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.28,62.81,24.16,0,193.26,11.9,48.32,2116.6400000000003

51,12:30-12:45,39.08,1.93,106.29,5.8,55.99,133,54.29,192.64,53.15,0,96.63,135.28,0,7.43,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.28,62.81,24.16,0,193.26,11.9,48.32,2106.15

52,12:45-13:00,42.79,1.93,106.29,5.8,55.99,133,54.29,192.64,53.15,0,96.63,135.28,0,7.52,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.28,62.81,24.16,0,193.26,11.9,48.32,2109.9500000000007

53,13:00-13:15,46,1.93,106.29,5.8,55.99,154,98.71,192.64,53.15,0,96.63,135.28,0,7.56,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.28,62.81,24.16,0,193.26,11.9,48.32,2178.620000000001

54,13:15-13:30,46,1.93,106.29,5.8,55.99,154,98.71,192.64,53.15,0,96.63,135.28,0,7.47,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.28,62.81,24.16,0,193.26,11.9,48.32,2178.5300000000007

55,13:30-13:45,46,1.93,106.29,5.8,55.99,158,98.71,192.64,53.15,0,96.63,135.28,0,7.52,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.28,62.81,24.16,0,193.26,11.9,48.32,2182.580000000001

56,13:45-14:00,46,1.93,106.29,5.8,55.99,158,98.71,192.64,53.15,0,96.63,135.28,0,7.56,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,0,0,0,8.05,0,8.7,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,0,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,0,21.28,62.81,24.16,0,193.26,11.9,48.32,2182.620000000001

57,14:00-14:15,36.67,0,106.29,5.8,55.99,154,98.71,192.64,53.15,115.96,96.63,135.28,115.96,6.02,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,28.99,193.26,0,8.05,0,11.6,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,33.82,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2695.3600000000006

58,14:15-14:30,36.67,0,106.29,5.8,55.99,151,98.71,192.64,53.15,115.96,96.63,135.28,115.96,5.93,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,28.99,193.26,0,8.05,0,11.6,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,33.82,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2692.2700000000004

59,14:30-14:45,36.67,0,106.29,5.8,55.99,147,98.71,192.64,53.15,115.96,96.63,135.28,115.96,5.23,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,28.99,193.26,0,8.05,0,11.6,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,33.82,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2687.5700000000006

60,14:45-15:00,36.67,0,106.29,5.8,55.99,140,98.71,192.64,53.15,115.96,96.63,135.28,115.96,5.24,100.13,24.88,28.99,12.76,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,28.99,193.26,0,8.05,0,11.6,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,33.82,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2680.58

61,15:00-15:15,36.67,0,106.29,5.8,55.99,133,98.71,192.64,53.15,115.96,96.63,135.28,115.96,4.55,100.13,24.88,28.99,13.04,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,28.99,193.26,0,8.05,0,11.6,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,33.82,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2673.17

62,15:15-15:30,36.67,0,106.29,5.8,55.99,126,98.71,192.64,53.15,115.96,96.63,135.28,115.96,4.6,100.13,24.88,28.99,13.04,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,28.99,193.26,0,8.05,0,11.6,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,33.82,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2666.2200000000003

63,15:30-15:45,26.67,0,106.29,5.8,55.99,77,98.71,192.64,53.15,115.96,96.63,135.28,115.96,4.68,100.13,24.88,28.99,13.04,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,28.99,193.26,0,8.05,0,11.6,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,33.82,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2607.3

64,15:45-16:00,24.06,0,106.29,5.8,55.99,72,98.71,192.64,53.15,115.96,96.63,135.28,115.96,4.44,100.13,24.88,28.99,13.04,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,0,0,0,0,24.16,28.99,193.26,0,8.05,0,11.6,0,0,0,24.16,48.32,0.97,24.16,0,96.63,0,0,33.82,0,24.16,0,0,0,0,8.05,0,15.83,0,24.16,193.26,0,0,0,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2599.4500000000007

65,16:00-16:15,33,0,0,0,0,56,98.71,0,0,0,96.63,0,0,2.4,0,0,28.99,13.41,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,135.28,24.16,53.15,0,0,0,28.99,193.26,5.8,0,0,11.6,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2817.7

66,16:15-16:30,32.33,0,0,0,0,49,98.71,0,0,0,0,0,0,2.44,0,0,28.99,13.41,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,135.28,24.16,53.15,0,0,0,28.99,193.26,5.8,0,0,11.6,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2713.4400000000005

67,16:30-16:45,12.89,0.97,0,0,0,42,98.71,0,0,0,0,0,0,2.55,0,0,28.99,13.41,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,135.28,24.16,53.15,0,0,0,28.99,193.26,5.8,0,0,11.6,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2688.080000000001

68,16:45-17:00,13.58,0.97,0,0,0,39,98.71,0,0,0,0,0,0,2.64,0,0,28.99,13.41,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,135.28,24.16,53.15,0,0,0,28.99,193.26,5.8,0,0,11.6,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2685.8600000000006

69,17:00-17:15,14.24,0.97,0,0,0,35,98.71,0,0,0,0,0,0,0,0,0,28.99,13.88,17.39,24.16,48.32,10.57,24.16,11.91,0,0,48.32,135.28,24.16,0,0,0,0,28.99,193.26,5.8,0,0,11.6,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,32,62.81,24.16,0,193.26,11.9,48.32,2627.21

70,17:15-17:30,12,0.97,0,0,0,32,98.71,0,0,0,0,0,0,0,0,0,28.99,13.88,17.39,24.16,48.32,10.57,24.16,11.91,0,0,48.32,135.28,24.16,0,0,0,0,28.99,193.26,5.8,0,0,11.6,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,32,62.81,24.16,0,193.26,11.9,48.32,2621.9700000000003

71,17:30-17:45,36.67,1.93,0,0,0,28,98.71,0,0,0,0,0,0,0,0,0,28.99,13.88,17.39,24.16,48.32,10.57,24.16,11.91,0,0,48.32,135.28,24.16,0,0,0,0,28.99,193.26,5.8,0,0,11.6,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,32,62.81,24.16,0,193.26,11.9,48.32,2643.6000000000004

72,17:45-18:00,35,1.93,0,0,0,25,98.71,0,0,0,0,0,0,0,0,0,28.99,13.88,17.39,24.16,48.32,10.57,24.16,11.91,0,0,48.32,135.28,24.16,0,0,0,0,28.99,193.26,5.8,0,0,11.6,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,32,62.81,24.16,0,193.26,11.9,48.32,2638.9300000000003

73,18:00-18:15,23.49,2.9,0,0,0,21,162.87,0,0,0,146.88,0,0,0,0,0,14.49,14.33,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,24.16,0,48.32,8.7,0,28.99,193.26,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2747.9400000000005

74,18:15-18:30,21.6,2.9,0,0,0,14,162.87,0,0,0,146.88,0,0,0,0,0,14.49,14.33,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,24.16,0,48.32,8.7,0,28.99,193.26,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2739.05

75,18:30-18:45,0.3,2.9,0,0,0,11,162.87,0,0,0,146.88,0,0,0,0,0,14.49,14.33,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,24.16,0,48.32,8.7,0,28.99,193.26,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2714.75

76,18:45-19:00,0.3,2.9,0,0,0,7,162.87,0,0,0,146.88,0,0,0,0,0,14.49,14.33,17.39,24.16,48.32,21.28,24.16,11.91,0,0,48.32,0,24.16,0,48.32,8.7,0,28.99,193.26,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,21.28,62.81,24.16,0,193.26,11.9,48.32,2710.75

77,19:00-19:15,0.3,2.9,0,0,0,5,162.87,0,0,0,146.88,0,0,0,0,0,14.49,16.92,29.16,24.16,48.32,32,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,193.26,5.8,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,32,62.81,24.16,96.63,193.26,11.9,48.32,3107.88

78,19:15-19:30,0.3,2.9,0,0,0,1,162.87,0,0,0,146.88,0,0,0,0,0,14.49,16.92,29.16,24.16,48.32,32,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,193.26,5.8,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,32,62.81,24.16,96.63,193.26,11.9,48.32,3103.88

79,19:30-19:45,0,2.9,0,0,0,0,162.87,0,0,0,146.88,0,0,0,0,0,14.49,16.92,29.16,24.16,48.32,32,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,193.26,5.8,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,6.93,62.81,24.16,96.63,193.26,11.9,48.32,3077.51

80,19:45-20:00,0,2.9,0,0,0,0,162.87,0,0,0,146.88,0,0,0,0,0,14.49,16.92,29.16,24.16,48.32,32,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,193.26,5.8,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,0,115.96,38.65,6.93,62.81,24.16,96.63,193.26,11.9,48.32,3077.51

81,20:00-20:15,0,2.9,0,0,0,0,162.87,0,0,0,146.88,0,0,0,0,0,14.49,17.11,29.16,24.16,48.32,19.46,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.92,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,19.46,62.81,24.16,96.63,0,11.9,48.32,3041.0200000000004

82,20:15-20:30,0,2.9,0,0,0,0,162.87,0,0,0,146.88,0,0,0,0,0,14.49,17.11,29.16,24.16,48.32,19.46,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.92,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,19.46,62.81,24.16,96.63,0,11.9,48.32,3041.0200000000004

83,20:30-20:45,0,2.9,0,0,0,0,162.87,0,0,0,146.88,0,0,0,0,0,14.49,17.11,29.16,24.16,48.32,19.46,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.92,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,19.46,62.81,24.16,96.63,0,11.9,48.32,3041.0200000000004

84,20:45-21:00,0,2.9,0,0,0,0,162.87,0,0,0,146.88,0,0,0,0,0,14.49,17.11,29.16,24.16,48.32,19.46,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.92,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,19.46,62.81,24.16,96.63,0,11.9,48.32,3041.0200000000004

85,21:00-21:15,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,17.11,29.16,24.16,48.32,14.66,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.92,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,2981.76

86,21:15-21:30,0,3.87,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,17.11,29.16,24.16,48.32,14.66,24.16,11.91,96.63,0,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,9.66,192.64,8.05,24.16,0,48.32,0.92,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,217.42,115.96,9.66,0,0,115.96,193.26,115.96,38.65,14.66,62.81,24.16,96.63,0,11.9,48.32,2981.76

