Column1,Block,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/12/8022,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/12/3458,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/12/2531,GNA/NR/2025/06/01/7663,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/79487,NR/2025/27622/A/79384,NR/2025/28753/C,GNA/NR/2025/06/01/4444,NR/30092023/26122029/SH-06,NR/2025/28715/C,NR/2025/28644/C,GNA/NR/2025/06/01/9257,NR/2025/28588/C,NR/2025/28630/C,NR/2025/28589/C,NR/2025/28520/C,NR/2025/28646/C,NR/2025/28470/C,NR/2025/28648/C,NR/2025/28474/C,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7782,NR/2025/27168/A/79772,NR/2025/28637/C,NR/2025/27727/A/79782,NR/2025/28636/C,NR/2025/28606/C,NR/2025/26975/A/79793,NR/2025/28138/A/79483,NR/2025/28605/C,NR/2025/26952/A/79346,NR/2025/26785/A/79389,NR/2025/26777/A/79438,NR/2025/28595/C,NR/2025/26860/A/79715,NR/2025/28604/C,NR/2025/27462/A/79385,NR/2025/27242/A/79748,NR/2025/28141/A/79486,NR/2025/28540/C,NR/2025/27162/A/79790,NR/2025/26564/A/79729,NR/2025/26085/A/79365,NR/2025/27782/A/79781,NR/2025/27281/A/79874,NR/2025/27157/A/79445,NR/2025/28548/C,NR/2025/28620/C,NR/2025/26861/A/79743,NR/2025/28549/C,NR/2025/28633/C,NR/2025/28587/C,NR/2025/28551/C,NR/2025/27724/A/79450,NR/2025/26561/A/79727,NR/2025/26445/A/79870,NR/2025/28594/C,NR/2025/28616/C,NR/2025/27499/A/79768,NR/2025/26563/A/79728,NR/2025/28139/A/79484,NR/2025/28611/C,NR/2025/28140/A/79485,NR/2025/26889/A/79769,NR/2025/26569/A/79730,NR/2025/27167/A/79767,NR/2025/27728/A/79783,NR/2025/27088/A/79866,NR/2025/26570/A/79731,NR/2025/27726/A/79784,NR/2025/28617/C,NR/2025/27725/A/79786,Total
33,08:00-08:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,37.81,84,5.53,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,12.95,11.9,24.16,0,43.92,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.97,14.64,24.88,0,0,102.36,0,0,0,0,0,9.66,144.94,63.58,0,0,0,0,0,0,0,0,0,24.16,37.34,192.64,0,43.92,28.99,14.64,1913.3900000000003

34,08:15-08:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,44.82,98,5.8,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,12.95,11.9,24.16,0,43.92,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.97,14.64,24.88,0,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,0,0,0,0,0,0,24.16,37.34,192.64,0,43.92,28.99,14.64,1935.6400000000003

35,08:30-08:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,51.84,112,5.8,0,193.26,26.5,0,0,24.16,0,0,0,0,0,0,0,0,11.91,12.95,11.9,24.16,0,43.92,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.97,14.64,24.88,0,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,0,0,0,0,0,0,24.16,37.34,192.64,0,43.92,28.99,14.64,1953.1599999999999

36,08:45-09:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,58.6,126,5.8,0,193.26,26.5,0,0,24.16,0,0,0,0,0,0,0,0,11.91,12.95,11.9,24.16,0,43.92,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.97,14.64,24.88,0,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,0,0,0,0,0,0,24.16,37.34,192.64,0,43.92,28.99,14.64,1973.92

37,09:00-09:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,65.43,140,8.7,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.76,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,48.32,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,10.63,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2043.750000000001

38,09:15-09:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,71.28,154,8.7,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.76,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,48.32,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2064.5700000000006

39,09:30-09:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,76.62,165,8.7,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.76,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,48.32,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2080.9100000000003

40,09:45-10:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,81.7,175,8.7,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.76,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,48.32,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2095.9900000000002

41,10:00-10:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,86.42,182,11.53,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.67,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2095.9500000000003

42,10:15-10:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,90.68,189,11.6,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.67,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2107.28

43,10:30-10:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,94.42,193,8.93,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.67,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2112.35

44,10:45-11:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,97.13,196,8.93,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.67,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2118.06

45,11:00-11:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,100,200,8.93,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.58,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2124.8399999999997

46,11:15-11:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,100,203,8.93,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.58,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2127.8399999999997

47,11:30-11:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,100,207,8.93,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.58,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2131.8399999999997

48,11:45-12:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.61,0,48.32,100,210,8.93,0,193.26,26.61,0,0,24.16,55.99,0,193.26,0,0,24.88,0,53.15,11.91,12.58,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2134.8399999999997

49,12:00-12:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,100,210,8.93,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.39,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2270.11

50,12:15-12:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,0,0,48.32,100,210,8.93,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.39,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2243.4100000000003

51,12:30-12:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,100,210,8.93,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.39,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2270.11

52,12:45-13:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,100,210,8.93,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.39,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2270.11

53,13:00-13:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,100,210,8.93,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.3,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,11.6,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2270.02

54,13:15-13:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,100,207,8.93,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.3,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,12.56,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2267.98

55,13:30-13:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,100,203,8.93,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.3,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,12.56,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2263.98

56,13:45-14:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,100,196,8.93,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.3,11.9,24.16,0,0,0,39.91,0,0,14.64,0,0,0,43.92,0,43.92,0,33.82,0,106.29,0,0,0.97,0,0,0,0,102.36,0,0,0,5.8,129.12,12.56,15.83,63.58,14.64,192.64,0,0,0,0,0,0,0,24.16,0,0,0,0,28.99,0,2256.98

57,14:00-14:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,100,189,8.93,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.2,11.9,24.16,0,0,0,39.91,0,38.65,14.64,0,0,0,43.92,0,43.92,0,33.82,193.26,106.29,0,0,0.97,0,0,0,144.94,102.36,0,144.94,0,5.8,129.12,12.56,15.83,63.58,14.64,192.64,0,0,28.99,0,33.82,0,0,24.16,0,0,0,0,28.99,0,2834.48

58,14:15-14:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,97.8,186,8.93,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.2,11.9,24.16,0,0,0,39.91,0,38.65,14.64,0,0,0,43.92,0,43.92,0,33.82,193.26,106.29,0,0,0.97,0,0,0,144.94,102.36,0,144.94,0,5.8,129.12,12.56,15.83,63.58,14.64,192.64,0,0,28.99,0,33.82,0,0,24.16,0,0,0,0,28.99,0,2829.28

59,14:30-14:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,95.14,182,11.6,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.2,11.9,24.16,0,0,0,39.91,0,38.65,14.64,0,0,0,43.92,0,43.92,0,33.82,193.26,106.29,0,0,0.97,0,0,0,144.94,102.36,0,144.94,0,5.8,129.12,12.56,15.83,63.58,14.64,192.64,0,0,28.99,0,33.82,0,0,24.16,0,0,0,0,28.99,0,2825.29

60,14:45-15:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,92.04,175,11.55,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.2,11.9,24.16,0,0,0,39.91,0,38.65,14.64,0,0,0,43.92,0,43.92,0,33.82,193.26,106.29,0,0,0.97,0,0,0,144.94,102.36,0,144.94,0,5.8,129.12,12.56,15.83,63.58,14.64,192.64,0,0,28.99,0,33.82,0,0,24.16,0,0,0,0,28.99,0,2815.14

61,15:00-15:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,88.5,168,8.7,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.58,11.9,24.16,0,0,0,39.91,0,38.65,14.64,0,0,0,43.92,0,43.92,0,48.32,193.26,106.29,0,0,0.97,0,0,0,144.94,102.36,0,144.94,0,5.8,129.12,13.53,15.83,63.58,14.64,192.64,0,0,28.99,0,33.82,0,0,24.16,0,0,0,0,28.99,0,2817.6000000000004

62,15:15-15:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.7,0,48.32,84.04,158,8.7,0,193.26,26.7,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.58,11.9,24.16,0,0,0,39.91,0,38.65,14.64,0,0,0,43.92,0,43.92,0,48.32,193.26,106.29,0,0,0.97,0,0,0,144.94,102.36,0,144.94,0,5.8,129.12,13.53,15.83,63.58,14.64,192.64,0,0,28.99,0,33.82,0,0,24.16,0,0,0,0,28.99,0,2803.1400000000003

63,15:30-15:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,24.1,0,48.32,79.33,147,8.7,0,193.26,24.1,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.58,11.9,24.16,0,0,0,39.91,0,38.65,14.64,0,0,0,43.92,0,43.92,0,48.32,193.26,106.29,0,0,0.97,0,0,0,144.94,102.36,0,144.94,0,5.8,129.12,13.53,15.83,63.58,14.64,192.64,0,0,28.99,0,33.82,0,0,24.16,0,0,0,0,28.99,0,2782.2300000000005

64,15:45-16:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,24.1,0,48.32,74.53,137,8.7,0,193.26,24.1,0,0,24.16,55.99,0,193.26,135.28,0,24.88,0,53.15,11.91,12.58,11.9,24.16,0,0,0,39.91,0,38.65,14.64,0,0,0,43.92,0,43.92,0,48.32,193.26,106.29,0,0,0.97,0,0,0,144.94,102.36,0,144.94,0,5.8,129.12,13.53,15.83,63.58,14.64,192.64,0,0,28.99,0,33.82,0,0,24.16,0,0,0,0,28.99,0,2767.4300000000003

65,16:00-16:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,24.1,0,48.32,69.39,123,5.8,0,193.26,24.1,0,0,24.16,0,0,0,0,0,0,0,0,11.91,12.85,11.9,24.16,0,43.92,0,0,5.8,38.65,0,135.28,53.15,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,102.36,0,0,0,0,0,13.53,144.94,63.58,0,0,0,0,28.99,0,33.82,0,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,2970.06

66,16:15-16:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,24.1,0,48.32,63.26,109,5.8,0,193.26,24.1,0,0,24.16,0,0,0,0,0,0,0,0,11.91,12.85,11.9,24.16,0,43.92,0,0,5.8,38.65,0,135.28,53.15,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,102.36,0,0,0,0,0,13.53,144.94,63.58,0,0,0,0,28.99,0,33.82,0,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,2949.93

67,16:30-16:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,19.43,0,48.32,57,95,5.8,0,193.26,19.43,0,0,24.16,0,0,0,0,0,0,0,0,11.91,12.85,11.9,24.16,0,43.92,0,0,5.8,38.65,0,135.28,53.15,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,102.36,0,0,0,0,0,13.53,144.94,63.58,0,0,0,0,28.99,0,33.82,0,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,2920.33

68,16:45-17:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,19.43,0,48.32,50.19,81,5.8,0,193.26,19.43,0,0,24.16,0,0,0,0,0,0,0,0,11.91,12.85,11.9,24.16,0,43.92,0,0,5.8,38.65,0,135.28,53.15,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,102.36,0,0,0,0,0,13.53,144.94,63.58,0,0,0,0,28.99,0,33.82,0,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,2899.5199999999995

69,17:00-17:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,9.94,0,48.32,43.61,67,0,0,193.26,29,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,43.92,0,0,5.8,38.65,0,135.28,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,102.36,0,0,0,0,0,13.53,144.94,63.58,0,0,0,0,28.99,0,33.82,0,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,2820.45

70,17:15-17:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,9.94,0,48.32,36.58,53,0,0,193.26,29,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,43.92,0,0,5.8,38.65,0,135.28,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,102.36,0,0,0,0,0,13.53,144.94,63.58,0,0,0,0,28.99,0,33.82,0,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,2799.419999999999

71,17:30-17:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,9.94,0,48.32,29.5,35,0,0,193.26,29,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,43.92,0,0,5.8,38.65,0,135.28,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,102.36,0,0,0,0,0,13.53,144.94,63.58,0,0,0,0,28.99,49.15,33.82,0,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,2823.4899999999993

72,17:45-18:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,8.94,0,48.32,23.1,18,0,0,193.26,29,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,43.92,0,0,5.8,38.65,0,135.28,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,102.36,0,0,0,0,0,13.53,144.94,63.58,0,0,0,0,28.99,49.15,33.82,0,0,24.16,37.34,192.64,144.94,43.92,28.99,14.64,2799.0899999999992

73,18:00-18:15,62.81,0,24.16,24.16,0,48.32,29.16,44.63,8.94,0,44.63,17.15,7,0,0,193.26,29,0,0,24.16,0,0,0,0,0,0,0,0,11.91,14.15,11.9,24.16,0,43.92,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,162.87,0,0,0,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,1.41,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,2653.1699999999996

74,18:15-18:30,62.81,0,24.16,24.16,0,48.32,29.16,40.52,8.94,0,40.52,12.29,4,0,0,193.26,29,0,0,24.16,0,0,0,0,0,0,0,0,11.91,14.15,11.9,24.16,0,43.92,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,162.87,0,0,0,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,1.41,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,2637.0899999999997

75,18:30-18:45,62.81,0,24.16,24.16,0,48.32,29.16,36.39,8.94,0,36.39,1.01,1,0,0,193.26,29,0,0,24.16,0,0,0,0,0,0,0,0,11.91,14.15,11.9,24.16,0,43.92,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,162.87,0,0,0,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,1.41,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,2614.5499999999997

76,18:45-19:00,62.81,0,24.16,24.16,0,48.32,29.16,32.27,8.94,0,32.27,0,0,0,0,193.26,29,0,0,24.16,0,0,0,0,0,0,0,0,11.91,14.15,11.9,24.16,0,43.92,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,162.87,0,0,0,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,1.41,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,2604.2999999999997

77,19:00-19:15,62.81,170.07,24.16,24.16,37.69,48.32,29.16,36.09,29,60.88,36.09,0,0,0,0,193.26,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,14.79,11.9,24.16,94.21,43.92,30.82,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,162.87,0,0,48.32,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,16.06,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,3264.19

78,19:15-19:30,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,0,193.26,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,14.79,11.9,24.16,99.43,43.92,32.08,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,162.87,0,0,48.32,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,16.06,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,3271.83

79,19:30-19:45,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,0,193.26,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16.47,11.9,24.16,99.43,43.92,32.08,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,162.87,0,0,48.32,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,16.06,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,3273.51

80,19:45-20:00,62.81,170.07,24.16,24.16,38.85,48.32,29.16,36.09,29,60.88,36.09,0,0,0,0,193.26,29,57.98,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,16.47,11.9,24.16,99.43,43.92,32.08,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,193.26,0,55.99,144.94,0.87,14.64,24.88,217.42,0,162.87,0,0,48.32,0,0,13.53,144.94,63.58,0,0,8.7,0,28.99,16.06,33.82,5.8,0,24.16,37.34,192.64,144.94,43.92,14.49,14.64,3273.51

