Time,Block,NR/2023/17227/C,NR/2023/17251/C,NR/2023/17246/C,NR/2023/16191/A,NR/2023/16073/A,NR/2023/17245/C,NR/2023/13253/A,NR/2023/13165/A,NR/2023/17239/C,NR/2023/13254/A,NR/2023/13387/A,NR/2023/13385/A,NR/2023/17225/C,NR/2023/13148/A,NR/2023/17233/C,NR/2023/16993/F,NR/2023/17254/C,NR/2023/16185/A,NR/2023/16291/F,NR/2023/17244/C,NR/2023/16077/A,NR/2023/17257/C,NR/2023/13150/A,NR/2023/13383/A,NR/2023/17226/C,NR/2023/15770/A,NR/2023/17221/D,NR/2023/17248/C,Total
82,20:15-20:30,0.000000,95.970000,226.490000,77.740000,0.000000,33.590000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.890000,104.470000,47.980000,38.390000,0.770000,191.940000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0,0,1284.97

83,20:30-20:45,0.000000,95.970000,262.960000,77.740000,0.000000,33.590000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.890000,104.470000,47.980000,38.390000,0.770000,191.940000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0,0,1321.44

84,20:45-21:00,0.000000,95.970000,314.780000,77.740000,0.000000,33.590000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.890000,104.470000,47.980000,38.390000,0.770000,191.940000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0,0,1373.26

85,21:00-21:15,0.000000,95.970000,335.900000,77.740000,0.000000,38.390000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.800000,104.470000,47.980000,38.390000,0.770000,191.940000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0,0,1399.09

86,21:15-21:30,0.000000,95.970000,335.900000,77.740000,0.000000,73.900000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.800000,104.470000,47.980000,38.390000,0.770000,191.940000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0,0,1434.6

87,21:30-21:45,0.000000,95.970000,335.900000,77.740000,0.000000,73.900000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.800000,104.470000,47.980000,38.390000,0.770000,191.940000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0,0,1434.6

88,21:45-22:00,0.000000,95.970000,335.900000,77.740000,0.000000,84.450000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.800000,104.470000,47.980000,38.390000,0.770000,191.940000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0,0,1445.15

89,22:00-22:15,0.000000,95.970000,335.900000,77.740000,0.000000,38.390000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,7.060000,36.210000,9.800000,104.470000,47.980000,38.390000,0.770000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1564

90,22:15-22:30,0.000000,95.970000,335.900000,77.740000,0.000000,76.780000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,7.060000,36.210000,9.800000,104.470000,47.980000,38.390000,0.770000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1602.39

91,22:30-22:45,0.000000,95.970000,335.900000,77.740000,0.000000,105.570000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,7.060000,36.210000,9.800000,104.470000,47.980000,38.390000,0.770000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1631.18

92,22:45-23:00,0.000000,95.970000,335.900000,77.740000,0.000000,113.240000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,7.060000,36.210000,9.800000,104.470000,47.980000,38.390000,0.770000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1638.85

93,23:00-23:15,0.000000,95.970000,335.900000,77.740000,0.000000,73.900000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,6.060000,36.210000,9.710000,104.470000,47.980000,38.390000,0.770000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1598.42

94,23:15-23:30,0.000000,95.970000,335.900000,77.740000,0.000000,73.900000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,6.060000,36.210000,9.710000,104.470000,47.980000,38.390000,0.770000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1598.42

95,23:30-23:45,0.000000,95.970000,335.900000,77.740000,0.000000,73.900000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,6.060000,36.210000,9.710000,104.470000,47.980000,38.390000,0.770000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1598.42

96,23:45-24:00,0.000000,95.970000,335.900000,77.740000,0.000000,73.900000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,6.060000,36.210000,9.710000,104.470000,47.980000,38.390000,0.770000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1598.42

