Column1,Block,NR/2025/26335/A/69445,GNARE/NR/2024/12/20/3668,NR/2025/26236/A/69369,NR/2025/26197/A/69858,NR/2025/26289/A/69813,NR/2025/26557/C,NR/2025/26336/A/69446,NR/2025/26265/A/69814,NR/2025/26153/A/69370,NR/2025/26554/C,NR/2025/26291/A/69812,NR/2025/26202/A/69856,NR/2025/26555/C,NR/2025/26191/A/69272,NR/2025/26519/C,NR/2025/26002/A/69795,NR/2025/25858/A/69800,NR/2025/26520/C,NR/2025/25855/A/69801,NR/2025/26233/A/69815,NR/2025/26521/C,NR/2025/26101/A/69484,NR/2025/26199/A/69854,NR/2025/26523/C,SR/2025/16987/C,NR/2025/26286/A/69417,NR/2025/26518/C,NR/2025/26576/C,NR/2025/26085/A/69371,NR/2025/26577/C,NR/2025/26578/C,NR/2025/26198/A/69857,NR/2025/26312/A/69367,NR/2025/26517/C,NR/2025/26200/A/69852,NR/2025/26201/A/69850,NR/2025/26232/A/69816,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/9320,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/7902,Total
53,13:00-13:15,193.06,94.12,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,5.79,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.69,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1675.4799999999998

54,13:15-13:30,193.06,93.12,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,5.79,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.69,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1674.4799999999998

55,13:30-13:45,193.06,92.61,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,5.79,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.69,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1673.9699999999998

56,13:45-14:00,189.2,92.62,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,5.79,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.69,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1670.12

57,14:00-14:15,199.82,90.54,11.58,14.62,0,96.53,135.14,0,62.74,28.96,0,0,0,48.26,24.13,0,111.01,4.83,0,0,4.83,33.79,18.05,53.09,0,5.79,48.26,25.82,0.97,14.62,37.3,43.87,0,96.53,0,0,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.59,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1821.4299999999996

58,14:15-14:30,195.96,88.85,11.58,14.62,0,96.53,135.14,0,62.74,28.96,0,0,0,48.26,24.13,0,111.01,4.83,0,0,4.83,33.79,18.05,53.09,0,6.76,48.26,25.82,0.97,14.62,37.3,43.87,0,96.53,0,0,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.59,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1816.8499999999995

59,14:30-14:45,189.2,87.55,11.58,14.62,0,96.53,135.14,0,62.74,28.96,0,0,0,48.26,24.13,0,111.01,4.83,0,0,4.83,33.79,18.05,53.09,0,6.76,48.26,25.82,0.97,14.62,37.3,43.87,0,96.53,0,0,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.59,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1808.7899999999997

60,14:45-15:00,182.44,83.53,11.58,14.62,0,96.53,135.14,0,62.74,28.96,0,0,0,48.26,24.13,0,111.01,4.83,0,0,4.83,33.79,18.05,53.09,0,6.76,48.26,25.82,0.97,14.62,37.3,43.87,0,96.53,0,0,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.59,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1798.0099999999998

61,15:00-15:15,175.68,74.77,8.69,14.62,0,96.53,135.14,0,62.74,14.48,0,0,51.13,48.26,24.13,0,111.01,4.83,0,0,4.83,33.79,18.05,53.09,0,7.72,48.26,25.82,0.97,14.62,37.3,43.87,0,96.53,0,0,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.59,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1817.2099999999996

62,15:15-15:30,166.03,66.01,8.69,14.62,0,96.53,135.14,0,62.74,14.48,0,0,51.13,48.26,24.13,0,111.01,4.83,0,0,4.83,33.79,18.05,53.09,0,7.72,48.26,25.82,0.97,14.62,37.3,43.87,0,96.53,0,0,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.59,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1798.7999999999997

63,15:30-15:45,155.41,57.26,8.69,14.62,0,96.53,135.14,0,62.74,14.48,0,0,51.13,48.26,24.13,0,111.01,4.83,0,0,4.83,33.79,18.05,53.09,0,7.72,48.26,25.82,0.97,14.62,37.3,43.87,0,96.53,0,0,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.59,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1779.4299999999996

64,15:45-16:00,145.76,48.5,8.69,14.62,0,96.53,135.14,0,62.74,14.48,0,0,51.13,48.26,24.13,0,111.01,4.83,0,0,4.83,33.79,18.05,53.09,0,7.72,48.26,25.82,0.97,14.62,37.3,43.87,0,96.53,0,0,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.59,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1761.0199999999998

65,16:00-16:15,132.25,43.83,5.79,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,111.01,0,0,4.83,0,33.79,43.87,0,0,7.72,0,0,0.82,0,0,43.87,53.09,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.69,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1739.8899999999996

66,16:15-16:30,118.73,39.16,5.79,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,111.01,0,0,4.83,0,33.79,43.87,0,0,7.72,0,0,0.82,0,0,43.87,53.09,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.69,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1721.6999999999996

67,16:30-16:45,101.36,34.49,5.79,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,111.01,0,0,4.83,0,33.79,43.87,0,0,8.69,0,0,0.82,0,0,43.87,53.09,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.69,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1700.6299999999997

68,16:45-17:00,84.95,29.83,5.79,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,111.01,0,0,4.83,0,33.79,43.87,0,0,8.69,0,0,0.82,0,0,43.87,53.09,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.69,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1679.5599999999997

69,17:00-17:15,67.57,26.85,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,102.25,48.26,0,0,111.01,0,0,4.83,0,33.79,43.87,0,0,8.69,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.87,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1636.9999999999995

70,17:15-17:30,51.16,23.88,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,102.25,48.26,0,0,111.01,0,0,4.83,0,33.79,43.87,0,0,8.69,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.87,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1617.6199999999997

71,17:30-17:45,33.79,20.91,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,108.46,48.26,0,0,111.01,0,0,4.83,0,33.79,43.87,0,0,8.69,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.87,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1603.4899999999998

72,17:45-18:00,17.38,17.93,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,108.46,48.26,0,0,111.01,0,0,4.83,0,33.79,43.87,0,0,8.69,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.87,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1584.1

73,18:00-18:15,6.76,14.18,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,0,8.69,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,26.61,14.48,0,26.61,9.05,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1765.369999999999

74,18:15-18:30,3.86,10.21,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,0,8.69,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,26.61,14.48,0,26.61,9.05,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1758.499999999999

75,18:30-18:45,0.97,6.25,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,0,8.69,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,25.7,9.05,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1753.6299999999992

76,18:45-19:00,0,4.22,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,19.98,8.69,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,25.7,9.05,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1770.6099999999992

77,19:00-19:15,0,2.85,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,8.69,0,0,0.72,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.24,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1796.1399999999992

78,19:15-19:30,0,0.88,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,8.69,0,0,0.72,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.24,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1794.1699999999992

79,19:30-19:45,0,0.03,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,8.69,0,0,0.72,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.24,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1793.3199999999993

80,19:45-20:00,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,7.72,0,0,0.72,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.24,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1792.319999999999

81,20:00-20:15,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,7.72,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1792.549999999999

82,20:15-20:30,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,45.37,7.72,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1789.659999999999

83,20:30-20:45,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,37.65,7.72,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1781.9399999999991

84,20:45-21:00,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,162.7,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,6.76,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1791.589999999999

85,21:00-21:15,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,108.46,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,6.76,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1737.3499999999992

86,21:15-21:30,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,108.46,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,6.76,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1737.3499999999992

87,21:30-21:45,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,102.25,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,6.76,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1731.1399999999992

88,21:45-22:00,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,102.25,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,6.76,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1731.1399999999992

89,22:00-22:15,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,102.25,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,5.79,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1730.1699999999992

90,22:15-22:30,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,102.25,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,5.79,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1730.1699999999992

91,22:30-22:45,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,102.25,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,5.79,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1730.1699999999992

92,22:45-23:00,0,0,0,14.62,48.26,0,135.14,96.53,62.74,0,24.13,96.53,102.25,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,48.26,5.79,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1730.1699999999992

93,23:00-23:15,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,0,5.79,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1645.2699999999995

94,23:15-23:30,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,0,4.83,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1644.3099999999995

95,23:30-23:45,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,0,4.83,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1644.3099999999995

96,23:45-24:00,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,164.1,111.01,0,0,4.83,0,33.79,43.87,0,0,4.83,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,19.31,164.1,29.5,14.48,0,24.09,9.42,13.51,0,29.01,14.48,5.79,67.57,123.08,28.96,28.96,1644.3099999999995

