Column1,Block,NR/2025/32534/A/94594,NR/2025/32599/A/94564,NR/2025/32534/A/94595,NR/2025/32532/A/94592,NR/2025/32535/A/94597,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/94593,NR/2025/32535/A/94685,NR/2025/32653/A/94631,NR/2025/33017/C,NR/2025/32652/A/94633,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6475,NR/2025/32929/C,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5784,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/1196,NR/2025/32968/C,GNA/NR/2025/08/01/2414,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,NR/2025/32559/A/94704,NR/2025/32598/A/94675,NR/2025/31421/A/94650,NR/2025/32992/C,NR/2025/32973/C,NR/2025/33005/C,NR/2025/32974/C,NR/2025/31046/A/94637,NR/2025/29440/A/94471,NR/2025/32556/A/94705,NR/2025/33006/C,NR/2025/31047/A/94639,NR/2025/32397/A/94153,NR/2025/32455/A/94615,NR/2025/32554/A/94617,NR/2025/32994/C,NR/2025/32004/A/94708,NR/2025/32996/C,NR/2025/33012/C,NR/2025/32610/A/94703,NR/2025/31041/A/94634,NR/2025/32262/A/94211,NR/2025/33012/C/Alternate/1,NR/2025/29992/A/94359,NR/2025/31042/A/94636,NR/2025/32375/A/94647,NR/2025/32987/C,NR/2025/32702/A/94278,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/3698,NR/2025/32857/A/94624,Total
52,12:45-13:00,0.29,189,0.19,0.48,0.19,100,0.67,0.1,1.44,20.16,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,11.3,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1530.3200000000002

53,13:00-13:15,0.29,189,0.19,0.48,0.19,98.33,0.67,0.1,1.44,8.79,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1520.0300000000002

54,13:15-13:30,0.29,189,0.19,0.48,0.19,98.33,0.67,0.1,1.44,8.79,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1520.0300000000002

55,13:30-13:45,0.29,189,0.44,0.48,0.19,98.33,0.67,0.1,1.44,8.79,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1520.2800000000002

56,13:45-14:00,0.29,189,0.45,0.48,0.19,98.33,0.62,0.1,1.44,8.79,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1520.24

57,14:00-14:15,0.29,179,0.45,0.48,0.19,96.58,0.62,0.1,1.44,8.79,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,95.98,47.99,95.98,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1700.45

58,14:15-14:30,0.29,175,0.46,0.48,0.19,94.46,0.64,0.1,1.44,8.79,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,95.98,47.99,95.98,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1694.3600000000001

59,14:30-14:45,0.29,182,0.77,0.48,0.19,91.75,0.96,0.67,1.44,8.79,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,95.98,47.99,95.98,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1699.8500000000001

60,14:45-15:00,0.29,175,0.77,0.48,0.19,88.56,0.96,0.67,1.44,8.79,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,95.98,47.99,95.98,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1689.66

61,15:00-15:15,0.29,168,0.77,0.48,0.19,87.94,0.86,0.6,1.44,10.74,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,95.98,47.99,95.98,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1683.8200000000002

62,15:15-15:30,0.29,161,0.77,0.48,0.19,83.5,0.87,0.61,1.44,10.74,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,95.98,47.99,95.98,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1672.4

63,15:30-15:45,0.29,151,0.77,0.48,0.19,78.63,0.86,0.6,1.44,10.74,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,95.98,47.99,95.98,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1657.5100000000002

64,15:45-16:00,0.29,140,0.77,0.48,0.19,73.78,0.91,0.63,1.44,10.74,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,14.05,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,95.98,47.99,95.98,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1641.7400000000002

65,16:00-16:15,0.29,130,0.77,0.48,0.19,68.67,0.86,0.6,0,10.74,0,15.21,81.58,20.71,0,14.54,28.86,81.58,14.05,19.2,0,40.79,26.96,20.4,26.96,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,0,0,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1622.2300000000005

66,16:15-16:30,0.29,116,0.77,0.48,0.19,63.56,0.7,0.49,0,10.74,0,15.21,81.58,20.71,0,14.54,28.86,81.58,14.05,19.2,0,40.79,26.96,20.4,26.96,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,0,0,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1602.8500000000004

67,16:30-16:45,0.29,102,0.77,0.48,0.19,57.89,0.54,0.37,0,10.74,0,15.21,81.58,20.71,0,14.54,28.86,81.58,14.05,19.2,0,40.79,26.96,20.4,26.96,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,0,0,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1582.9000000000003

68,16:45-17:00,0.29,88,0.77,0.48,0.19,51.92,0.37,0.26,0,8.79,0,15.21,81.58,20.71,0,14.54,28.86,81.58,14.05,19.2,0,40.79,26.96,20.4,26.96,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,0,0,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1560.7000000000003

69,17:00-17:15,0.29,74,0.77,0.48,0.19,45.8,0.33,0.23,0,8.14,0,15.21,81.58,20.71,0,14.54,28.86,81.58,14.05,19.2,0,40.79,26.96,20.4,26.96,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,0,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1548.5000000000002

70,17:15-17:30,0.29,60,0.77,0.48,0.19,39.07,0.17,0.11,0,7.86,0,15.21,81.58,20.71,0,14.54,28.86,81.58,14.05,19.2,0,40.79,26.96,20.4,26.96,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,0,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1527.2100000000003

71,17:30-17:45,0.29,46,0.77,0.48,0.19,32.33,0.01,0.01,0,7.68,0,15.21,81.58,20.71,0,14.54,28.86,81.58,14.05,19.2,0,40.79,26.96,20.4,26.96,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,0,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1506.0300000000002

72,17:45-18:00,0.29,35,0,0.48,0.19,25.53,0,0,0,7.75,0,15.21,81.58,20.71,0,14.54,28.86,81.58,14.05,19.2,0,40.79,26.96,20.4,26.96,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,0,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1487.51

73,18:00-18:15,0.29,28,0,0.48,0.19,18.7,0,0,0,8.56,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,26.95,20.4,26.95,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1440.06

74,18:15-18:30,0.2,18,0,0.34,0.13,12.24,0,0,0,6.22,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,26.95,20.4,26.95,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1420.97

75,18:30-18:45,0.12,11,0,0.2,0.08,7.04,0,0,0,4.06,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,26.09,20.4,26.09,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1404.62

76,18:45-19:00,0.06,7,0,0.1,0.04,0,0,0,0,2.6,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,24.17,20.4,24.17,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1388.08

77,19:00-19:15,0,3,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1391.99

78,19:15-19:30,0,1,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1389.99

79,19:30-19:45,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1388.99

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,191.96,37.09,0,0,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1388.99

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,191.96,37.09,0,53.99,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1442.98

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,191.96,37.09,0,53.99,0,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1442.98

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,116.57,37.09,0,53.99,75.39,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1442.9800000000002

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,76.42,0,107.58,37.09,0,53.99,84.38,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1442.9800000000002

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,104.05,37.09,0,53.99,87.91,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1472.1400000000003

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,100.38,37.09,0,53.99,91.58,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1472.14

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,0,37.09,0,53.99,191.96,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1472.1400000000003

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,0,37.09,0,53.99,191.96,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1472.1400000000003

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,0,37.09,0,53.99,191.96,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1472.1400000000003

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,0,37.09,0,53.99,191.96,44.15,95.98,47.99,0,13.44,20.4,14.54,0,1472.1400000000003

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,0,37.09,0,53.99,191.96,44.15,95.98,47.99,0,12.48,20.4,14.54,0,1471.1800000000003

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.91,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,0,37.09,0,53.99,191.96,44.15,95.98,47.99,0,12.48,20.4,14.54,0,1471.1800000000003

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,0,37.09,0,53.99,191.96,44.15,95.98,47.99,0,12.48,20.4,14.54,0,1471.13

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,0,37.09,0,53.99,191.96,44.15,95.98,47.99,0,12.48,20.4,14.54,0,1471.13

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,0,37.09,0,53.99,191.96,44.15,95.98,47.99,0,12.48,20.4,14.54,0,1471.13

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,33.59,20.71,0,14.54,28.86,81.58,14.05,0,0,40.79,29.5,20.4,29.5,43.62,81.58,47.99,0,0,0,0,0,0.86,43.62,0,95.98,8.64,47.99,163.17,0,105.58,0,0,37.09,0,53.99,191.96,44.15,95.98,47.99,0,12.48,20.4,14.54,0,1471.13

