Time,Block,NR/2024/19282/C,NR/2024/18855/A/13602,NR/2024/19265/C,NR/2024/19024/A/13758,NR/2024/19043/A/13535,NR/2024/19266/C,NR/2024/18919/A/14013,NR/2024/19275/C,NR/2024/18986/A/13520,NR/2024/18977/A/13476,NR/2024/19280/C,NR/2024/19273/C,NR/2024/19298/C,NR/2024/18934/A/13488,NR/2024/19075/A/13514,NR/2024/18996/A/13978,NR/2024/18978/A/13475,NR/2024/19263/C,SR/2024/12929/C,NR/2024/19172/A/14135,NR/2024/18935/A/13487,NR/2024/19030/A/13540,NR/2024/19288/C,NR/2024/19143/A/13521,NR/2024/19115/A/13565,NR/2024/19289/C,NR/2024/19278/C,NR/2024/19121/A/13600,NR/2024/19274/C,NR/2024/18976/A/13477,NR/2024/18936/A/13486,NR/2024/19248/C,NR/2024/19281/C,Total
68,16:45-17:00,0.000000,66.930000,2.8,4.840000,46.440000,52.630000,0.000000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,6.770000,1.930000,0.000000,474.26

69,17:00-17:15,0.000000,66.930000,2.22,4.840000,0.000000,108.950000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,417.73

70,17:15-17:30,0.000000,66.930000,1.68,4.840000,0.000000,108.950000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,417.19

71,17:30-17:45,0.000000,66.930000,1.18,4.840000,0.000000,142.760000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,450.5

72,17:45-18:00,0.000000,66.930000,0.77,4.840000,0.000000,142.760000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,450.09

73,18:00-18:15,0.000000,66.930000,0.44,4.840000,0.000000,167.360000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,425.99

74,18:15-18:30,0.000000,66.930000,0.2,4.840000,0.000000,167.360000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,425.75

75,18:30-18:45,0.000000,66.930000,0,4.840000,0.000000,167.360000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,425.55

76,18:45-19:00,0.000000,66.930000,0,4.840000,0.000000,167.360000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.930000,0.000000,425.55

77,19:00-19:15,0.000000,66.930000,0,4.840000,0.000000,167.360000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,0.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,3.770000,525.64

78,19:15-19:30,0.000000,66.930000,0,4.840000,0.000000,167.360000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,0.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,3.770000,525.64

79,19:30-19:45,0.000000,66.930000,0,4.840000,0.000000,167.360000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,0.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,3.770000,525.64

80,19:45-20:00,0.000000,66.930000,0,4.840000,0.000000,167.360000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,0.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,3.770000,525.64

81,20:00-20:15,0.000000,66.930000,0,4.840000,0.000000,167.360000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,0.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,9.000000,530.87

82,20:15-20:30,0.000000,66.930000,0,4.840000,0.000000,167.360000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,0.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,12.870000,534.74

83,20:30-20:45,0.000000,66.930000,0,4.840000,0.000000,167.360000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,12.870000,634.74

84,20:45-21:00,0.000000,66.930000,0,4.840000,0.000000,167.360000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,11.710000,633.58

85,21:00-21:15,33.860000,66.930000,0,4.840000,0.000000,150.240000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,75.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,11.420000,725.03

86,21:15-21:30,33.860000,66.930000,0,4.840000,0.000000,150.240000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,75.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,11.420000,725.03

87,21:30-21:45,33.860000,66.930000,0,4.840000,0.000000,93.930000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,75.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,14.510000,671.81

88,21:45-22:00,33.860000,66.930000,0,4.840000,0.000000,52.630000,0.000000,3.870000,0.680000,0.000000,5.320000,48.370000,75.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,13.250000,629.25

89,22:00-22:15,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.680000,0.000000,5.320000,48.370000,100.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,13.540000,664.21

90,22:15-22:30,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.680000,0.000000,5.320000,48.370000,100.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,13.450000,664.12

91,22:30-22:45,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.680000,0.000000,5.320000,48.370000,100.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,12.000000,662.67

92,22:45-23:00,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.680000,0.000000,5.320000,48.370000,100.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,13.250000,663.92

93,23:00-23:15,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.630000,0.000000,5.320000,48.370000,100.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,11.710000,662.33

94,23:15-23:30,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.630000,0.000000,5.320000,48.370000,100.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,11.420000,662.04

95,23:30-23:45,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.630000,0.000000,5.320000,48.370000,100.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,9.670000,660.29

96,23:45-24:00,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.630000,0.000000,5.320000,48.370000,100.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,7.740000,0.000000,24.180000,0.000000,0.000000,1.930000,9.580000,660.2

